#pid	conf	gene_ids	eids	pathfinders	sif_edges
p181	0.796000	YFR028C|HOG1ID46|YMR205C|YHR099W|CDC14ID25	edge21680|edge15977|edge25661|edge23193	paths	YFR028C d HOG1ID46|HOG1ID46 d YMR205C|YMR205C u YHR099W|YHR099W d CDC14ID25
p182	0.918000	YFR028C|YPL248C|YAL041W|CDC14ID22	edge14980|edge11845|edge15937	paths	YFR028C u YPL248C|YPL248C u YAL041W|YAL041W d CDC14ID22
p183	0.909000	YFR028C|YOR046C|YNL124W|CDC14RD41	edge6017|edge25191|edge933	paths	YFR028C u YOR046C|YOR046C u YNL124W|YNL124W d CDC14RD41
p184	0.026000	YFR028C|YDL165W|YML010W|CDC14RD35	edge12052|edge15530|edge3180	paths	YFR028C u YDL165W|YDL165W u YML010W|YML010W d CDC14RD35
p185	0.909000	YFR028C|YOR046C|YNL124W|CDC14RD36	edge6017|edge25191|edge17898	paths	YFR028C u YOR046C|YOR046C u YNL124W|YNL124W d CDC14RD36
p186	0.746000	YLR113W|YOR039W|YNL255C|HOG1IA45	edge10027|edge21544|edge4357	paths	YLR113W u YOR039W|YOR039W d YNL255C|YNL255C d HOG1IA45
p187	0.675000	YFR028C|YDR388W|YGR180C|CDC14RD41	edge21428|edge10938|edge1872	paths	YFR028C d YDR388W|YDR388W u YGR180C|YGR180C d CDC14RD41
p188	0.907000	YLR113W|NPI1|YJR059W|YKL181W|HOG1ID42	edge15950|edge784|edge11479|edge4403	paths	YLR113W d NPI1|NPI1 d YJR059W|YJR059W d YKL181W|YKL181W d HOG1ID42
p189	0.773000	YLR113W|YGR200C|YHR099W|HOG1ID42	edge5411|edge21921|edge5141	paths	YLR113W d YGR200C|YGR200C u YHR099W|YHR099W d HOG1ID42
p190	0.898000	YFR028C|YER006W|NPR17|YHR119W|CDC14RD31	edge16670|edge6|edge23240|edge25807	paths	YFR028C d YER006W|YER006W d NPR17|NPR17 d YHR119W|YHR119W d CDC14RD31
p191	0.911000	YFR028C|HOG1ID46|YBR059C|YJL115W|CDC14RD31	edge21680|edge23973|edge14743|edge11336	paths	YFR028C d HOG1ID46|HOG1ID46 d YBR059C|YBR059C d YJL115W|YJL115W d CDC14RD31
p192	0.773000	YLR113W|YGR200C|YHR099W|HOG1ID47	edge5411|edge21921|edge15191	paths	YLR113W d YGR200C|YGR200C u YHR099W|YHR099W d HOG1ID47
p193	0.921000	YFR028C|YPL146C|YBR135W|CDC14RD31	edge2959|edge4409|edge801	paths	YFR028C u YPL146C|YPL146C u YBR135W|YBR135W d CDC14RD31
p194	0.773000	YLR113W|YGR200C|YHR099W|HOG1ID48	edge5411|edge21921|edge17442	paths	YLR113W d YGR200C|YGR200C u YHR099W|YHR099W d HOG1ID48
p195	0.034000	YLR113W|YKL057C|YFR028C|HOG1ID46	edge2067|edge6954|edge21680	paths	YLR113W u YKL057C|YKL057C u YFR028C|YFR028C d HOG1ID46
p196	0.890000	YFR028C|CDC14ID21|YER165W|YDR099W|CDC14RD39	edge1387|edge26699|edge24562|edge6867	paths	YFR028C d CDC14ID21|CDC14ID21 d YER165W|YER165W u YDR099W|YDR099W d CDC14RD39
p197	0.092000	YLR113W|YHR154W|YER125W|HOG1RD57	edge7685|edge16159|edge2405	paths	YLR113W d YHR154W|YHR154W u YER125W|YER125W d HOG1RD57
