Protein1,Protein2,Interaction,Directed
YDR247W,YKR049C,ppi,0
YDR192C,YLR131C,ppi,0
YIL122W,YKL161C,ppi,0
YOR362C,YPL144W,ppi,0
YHR019C,YKL198C,ppi,0
YBR200W,YOR106W,ppi,0
YER132C,YPL203W,ppi,0
YHR030C,YMR116C,ppi,0
YBL045C,YML129C,ppi,0
YPL031C,YIL075C,kinase_substrate,1
RDN372,YNL075W,ppi,0
YER033C,YLR096W,ppi,0
YLR308W,YBR023C,metabolic_pathway,0
YLL036C,YNL007C,ppi,0
YGL120C,YLR197W,ppi,0
YKL125W,YLL039C,ppi,0
YJL164C,YPL203W,kinase_substrate,1
YJR059W,YMR288W,kinase_substrate,1
YBL032W,YLR332W,ppi,0
YLR318W,YPL240C,ppi,0
YER008C,YIL118W,ppi,0
YNL030W,YOR304W,ppi,0
YGL209W,YGR014W,ppi,0
YBR160W,YNL271C,kinase_substrate,1
YNL030W,YOR064C,ppi,0
YAL030W,YJL204C,ppi,0
YCR033W,YDR155C,ppi,0
YBR160W,YDR501W,kinase_substrate,1
YJR154W,YOR351C,ppi,0
YER151C,YNR051C,ppi,0
YJR059W,YKL127W,kinase_substrate,1
YDL105W,YOL034W,ppi,0
YBR160W,YPR086W,ppi,0
YFL010C,YLL039C,ppi,0
YKL009W,YPL220W,ppi,0
YER012W,YGL244W,ppi,0
YHR200W,YOR065W,ppi,0
YEL054C,YKR081C,ppi,0
YCL050C,YKL001C,metabolic_pathway,0
YCR008W,YDL177C,ppi,0
YJR059W,YOR209C,kinase_substrate,1
YHR135C,YER092W,kinase_substrate,1
YAR019C,YGL245W,kinase_substrate,1
YHR089C,YML026C,ppi,0
YBR188C,YGL120C,ppi,0
YBL011W,YPL209C,ppi,0
YBR110W,YNL048W,ppi,0
YBR059C,YDR312W,kinase_substrate,1
YEL056W,YHR118C,ppi,0
YER125W,YBR290W,ubiquitination,1
YAR002W,YLR335W,ppi,0
YBR059C,YER177W,ppi,0
YGL198W,YGL210W,ppi,0
YFL037W,YML085C,ppi,0
YDR188W,YGL083W,ppi,0
YDL159W,YGR287C,ppi,0
YGR092W,YBR285W,kinase_substrate,1
YJR025C,YPR054W,ppi,0
YHR099W,YLR403W,ppi,0
YBR041W,YDL193W,ppi,0
YGL059W,YOL016C,kinase_substrate,1
YBL016W,YBL057C,kinase_substrate,1
RDN372,YGR251W,ppi,0
YER155C,YKR055W,ppi,0
YBR068C,YJR148W,metabolic_pathway,0
YGL167C,YLR026C,ppi,0
YDR495C,YOR089C,ppi,0
YOR074C,YMR113W,metabolic_pathway,0
YER012W,YOR157C,ppi,0
YBR103W,YGL194C,ppi,0
YBR093C,YDR236C,metabolic_pathway,1
YLR207W,YMR297W,ppi,0
YHR082C,YMR291W,kinase_substrate,1
YDL116W,YIL115C,ppi,0
YHR089C,SNR17B,ppi,0
YFR002W,YGL100W,ppi,0
YGR040W,YJR069C,kinase_substrate,1
YFL031W,YOL004W,ppi,0
YGL175C,YMR001C,ppi,0
YNL154C,YHR104W,kinase_substrate,1
YPL031C,YDR265W,kinase_substrate,1
YDR333C,YLR061W,ppi,0
YPL031C,YLR293C,kinase_substrate,1
YHR164C,YHR165C,ppi,0
YDL207W,YOR046C,ppi,0
YCR084C,YLL039C,ppi,0
YJL019W,YKL172W,ppi,0
YAL013W,YNL097C,ppi,0
YAR018C,YOL083W,ppi,0
YER081W,YIL074C,ppi,0
YFR001W,YGR103W,ppi,0
YJR144W,YPL118W,ppi,0
YJL006C,YKR018C,ppi,0
YIL095W,YML037C,kinase_substrate,1
YBR079C,YER025W,ppi,0
YDR333C,YMR116C,ppi,0
YHL030W,YOL038W,ppi,0
YDL140C,YEL009C,ppi,0
YGL173C,YLL019C,ppi,0
YDL148C,YLR116W,ppi,0
YJL187C,YMR049C,kinase_substrate,1
YHR135C,YOL153C,kinase_substrate,1
YLL004W,YPL008W,ppi,0
YIL095W,YNL084C,ppi,0
YFR014C,YJL189W,kinase_substrate,1
YLR146C,YPR156C,metabolic_pathway,0
YGL111W,YLR276C,ppi,0
YDL006W,YLR113W,phosphatase_substrate,1
YKL117W,YMR004W,ppi,0
YDL100C,YOL111C,ppi,0
YDR450W,YLL036C,ppi,0
YIL157C,YLR203C,ppi,0
YHL004W,YHR147C,ppi,0
YIL133C,YOR063W,ppi,0
YLR324W,YMR204C,ppi,0
YER020W,YOR107W,ppi,0
YDR176W,YBR010W,acetylation,1
YBL047C,YNL124W,ppi,0
YGL120C,YOR252W,ppi,0
YDR432W,YER165W,ppi,0
YAL040C,YMR037C,given_gasch,1
YLR155C,YDR384C,metabolic_pathway,1
YOR257W,YPL180W,ppi,0
YBR028C,YBR084W,ppi,0
YGR090W,YGR251W,ppi,0
YBR112C,YCR084C,ppi,0
YEL018W,YOR244W,ppi,0
YFR028C,YIL095W,ppi,0
YDR265W,YNL329C,ppi,0
YLR191W,YNL131W,ppi,0
YER007W,YOR349W,ppi,0
YAL047C,YOR373W,ppi,0
YPL031C,YOR056C,kinase_substrate,1
YML016C,YPR005C,ppi,0
YDR477W,YOR267C,ppi,0
YML030W,YNL052W,ppi,0
YBR041W,CX70,metabolic_pathway,0
YDL051W,YER125W,ppi,0
YAL035W,YPL005W,ppi,0
YJL092W,YLR035C,ppi,0
YLL036C,YML046W,ppi,0
YER129W,YPL204W,ppi,0
YIL018W,YNL299W,ppi,0
YLR449W,YNL031C,ppi,0
YDL101C,YJL076W,ppi,0
YFR014C,YBL064C,kinase_substrate,1
YBR160W,YFL029C,kinase_substrate,1
YPL031C,YPL193W,kinase_substrate,1
YDR272W,CX17,metabolic_pathway,0
YHR030C,YLR187W,ppi,0
YDL126C,YPL009C,ppi,0
YHL007C,YOR208W,kinase_substrate,1
YKL095W,YMR213W,ppi,0
YIL013C,CX66,metabolic_pathway,0
YLR025W,YPL084W,ppi,0
YJL074C,YPL204W,ppi,0
YGL173C,YKR081C,ppi,0
YFR019W,YLR386W,ppi,0
YHR082C,YOR181W,kinase_substrate,1
YAL040C,YNL189W,ppi,0
YBR028C,YEL029C,ppi,0
YHR082C,YCL043C,kinase_substrate,1
YGR167W,YJL057C,ppi,0
YDL100C,YHR005C,ppi,0
YDR381W,YJR006W,ppi,0
YGR090W,YNL186W,ppi,0
YBR279W,YGL058W,ppi,0
YDR190C,YOR189W,ppi,0
YBR009C,YCR084C,ppi,0
YGL172W,YML092C,ppi,0
YIR008C,YKL045W,ppi,0
YBR009C,YLR141W,ppi,0
YDL117W,YMR138W,ppi,0
YGR134W,YJR011C,ppi,0
YBL105C,YPR165W,ppi,0
YBR082C,YOL013C,ppi,0
YPL203W,YER109C,kinase_substrate,1
YER087CB,YJR010CA,ppi,0
YDR101C,YIL115C,ppi,0
YGR028W,YPL204W,ppi,0
RDN581,YOR048C,ppi,0
YHR076W,YMR079W,ppi,0
YHR135C,YPL146C,kinase_substrate,1
YNL298W,YDL006W,kinase_substrate,1
YAL021C,YPL037C,ppi,0
YBR252W,YKL067W,metabolic_pathway,0
YOR233W,YAR019C,kinase_substrate,1
YDR429C,YMR146C,ppi,0
YGR155W,YGL184C,metabolic_pathway,0
YFR019W,YFR021W,ppi,0
YJL014W,YJL111W,ppi,0
YBR080C,YHR027C,ppi,0
YHR086W,YPL213W,ppi,0
YJR059W,YJL123C,kinase_substrate,1
YBR156C,YER016W,ppi,0
YAL023C,YNL074C,ppi,0
YGR091W,YJR022W,ppi,0
YLR300W,YDR343C,metabolic_pathway,1
YHR135C,YPR091C,kinase_substrate,1
YAL005C,YIL016W,ppi,0
YDL028C,YGL003C,ppi,0
YER099C,YMR139W,ppi,0
YER031C,YER136W,ppi,0
YNL261W,YPR164W,ppi,0
YDR477W,YNL186W,kinase_substrate,1
YDR192C,YJL061W,ppi,0
YAL005C,YLR256W,ppi,0
YLR449W,YPL093W,ppi,0
YDL087C,YHR086W,ppi,0
YHR165C,YLR438CA,ppi,0
YGR040W,YMR239C,kinase_substrate,1
YDR335W,YMR047C,ppi,0
YPL031C,YMR250W,kinase_substrate,1
YJL164C,YGL184C,kinase_substrate,1
YBL058W,YDL108W,ppi,0
YDL003W,YOR232W,ppi,0
YAL005C,YLL006W,ppi,0
YOR244W,YPR135W,acetylation,1
YJL025W,YMR270C,ppi,0
YDR195W,YER133W,ppi,0
YBR160W,YOL125W,kinase_substrate,1
YDL116W,YNL189W,ppi,0
YDR320CA,YKR037C,ppi,0
YDR261C,YOL156W,metabolic_pathway,1
YDL031W,YPR016C,ppi,0
YHR135C,YOL091W,kinase_substrate,1
YLR113W,YER151C,kinase_substrate,1
YER141W,YPL172C,ppi,0
YJL164C,YGR235C,kinase_substrate,1
YJL122W,YLR009W,ppi,0
YDL214C,YJR103W,kinase_substrate,1
YOR360C,YJL164C,given_gasch,1
YBR084W,YNL207W,ppi,0
YNL006W,YNL183C,ppi,0
YDL140C,YHR187W,ppi,0
YDR490C,YML074C,ppi,0
YFR031CA,YLL039C,ppi,0
YER167W,YPL204W,ppi,0
YBL026W,YDR404C,ppi,0
YDR224C,YOL012C,ppi,0
YMR139W,YPL141C,ppi,0
YGL094C,YGR178C,ppi,0
YKL001C,CX45,metabolic_pathway,0
YBR160W,YDR389W,kinase_substrate,1
YHR102W,YNL161W,kinase_substrate,1
YKL112W,YOR039W,ppi,0
YGL179C,YPL117C,kinase_substrate,1
YKL009W,YNL002C,ppi,0
YHR172W,YLR045C,ppi,0
YKL049C,YNL030W,ppi,0
YJL164C,YLR133W,kinase_substrate,1
YCR091W,YDL006W,kinase_substrate,1
YCL011C,YJR123W,ppi,0
YER133W,YFR003C,ppi,0
YBR135W,YJL194W,ppi,0
YFL031W,YGR252W,ppi,0
YGL180W,YKR092C,kinase_substrate,1
YBL026W,YPR080W,ppi,0
YMR216C,YFR010W,kinase_substrate,1
YIL053W,YOL016C,ppi,0
YIL019W,YKL099C,ppi,0
YOL128C,YLR303W,kinase_substrate,1
YBL075C,YPL042C,ppi,0
YOR244W,YMR140W,acetylation,1
YNL307C,YOR335C,kinase_substrate,1
YDR301W,YMR061W,ppi,0
YKL101W,YNL202W,kinase_substrate,1
YFL039C,YPR154W,ppi,0
YCR091W,YNL045W,kinase_substrate,1
YHR182W,YKL168C,ppi,0
YER089C,YIL033C,ppi,0
YAL005C,YOL072W,ppi,0
YJL164C,YKL038W,kinase_substrate,1
YLR200W,YNL153C,ppi,0
YLR320W,YPR135W,ppi,0
YDR247W,YGR237C,ppi,0
YGL137W,YLR422W,ppi,0
YPL153C,YBR010W,kinase_substrate,1
YJL047C,YOL063C,ppi,0
YHR135C,YJL110C,kinase_substrate,1
YDR477W,YHL024W,ppi,0
YHL004W,YMR158W,ppi,0
YBR017C,YGL172W,ppi,0
YGL100W,YIL115C,ppi,0
YDL190C,YML013W,ppi,0
YLR096W,YIL135C,kinase_substrate,1
YBR034C,YNL004W,methylation,1
YJL164C,YER098W,kinase_substrate,1
YER068W,YJL050W,ppi,0
YPL203W,YGR249W,kinase_substrate,1
YER093C,YKL203C,ppi,0
YJL095W,YKR081C,ppi,0
YBR080C,YLR078C,ppi,0
YDL060W,YJL010C,ppi,0
YDL013W,YDL064W,ppi,0
YBR034C,YHL034C,ppi,0
YBL023C,YPR019W,ppi,0
YCR060W,YLR197W,ppi,0
YJR066W,YKL203C,ppi,0
YPL031C,YOR301W,kinase_substrate,1
YKL101W,YLR314C,ppi,0
YDR022C,YLR423C,ppi,0
YGR192C,YHR200W,ppi,0
YNL229C,YNL307C,ppi,0
YOL113W,YGL245W,kinase_substrate,1
YGR013W,YLR298C,ppi,0
YEL009C,YOL148C,ppi,0
YDR099W,YER177W,ppi,0
YHL011C,YMR139W,ppi,0
YKL203C,YNL006W,ppi,0
YDR489W,YOL006C,ppi,0
YHR129C,YLL049W,ppi,0
YBR254C,YOR115C,ppi,0
YNL154C,YDL051W,kinase_substrate,1
YBR211C,YDR318W,ppi,0
YBR059C,YLL039C,ppi,0
YDR329C,YMR204C,ppi,0
YGR092W,YNL272C,kinase_substrate,1
YHR135C,YNL199C,kinase_substrate,1
YJR041C,YKL180W,ppi,0
YDR507C,YKL101W,ppi,0
YPL031C,YCL050C,kinase_substrate,1
YDR381W,YMR237W,ppi,0
YER013W,YLR117C,ppi,0
YJL091C,YOL020W,ppi,0
YOR244W,YNL246W,acetylation,1
YBR039W,YPR106W,ppi,0
YER172C,YPL105C,ppi,0
YER110C,YHL033C,ppi,0
YBR217W,YLL042C,ppi,0
YLL043W,YER062C,metabolic_pathway,0
YDR011W,YOR153W,ppi,0
YCL054W,YER133W,ppi,0
YDL165W,YKR095W,ppi,0
YDL192W,YKR027W,ppi,0
YDL159W,YMR276W,ppi,0
YJL090C,YNL299W,ppi,0
YPL141C,YKL160W,kinase_substrate,1
YLR178C,YLR216C,ppi,0
YGR140W,YNL078W,ppi,0
YBR041W,YJL052W,ppi,0
YIL095W,YER122C,kinase_substrate,1
YGL179C,YOL072W,kinase_substrate,1
YDL220C,YDR356W,ppi,0
YPL031C,YIL118W,kinase_substrate,1
YHR135C,YNL027W,kinase_substrate,1
YGL016W,YLR335W,ppi,0
YER125W,YGR052W,ppi,0
YBR270C,YFR050C,ppi,0
YIL143C,YPR056W,ppi,0
YBR131W,YML001W,ppi,0
YBR066C,YDR477W,ppi,0
YDR080W,YGL212W,ppi,0
YLR096W,YJR056C,kinase_substrate,1
YGL115W,YOR267C,ppi,0
YBL092W,YNL124W,ppi,0
YLR127C,YNR009W,ubiquitination,1
YJL121C,YBR117C,metabolic_pathway,0
YBR018C,YER123W,ppi,0
YDR190C,YLR318W,ppi,0
YLL039C,YML088W,ppi,0
YJL164C,YLR003C,kinase_substrate,1
YDL156W,YMR106C,ppi,0
YKR006C,YLR439W,ppi,0
YDL117W,YER177W,ppi,0
YHR135C,YDR023W,kinase_substrate,1
YMR255W,YMR273C,ppi,0
YER044C,YHR072W,ppi,0
YJL164C,YGL105W,kinase_substrate,1
YBR274W,YDL236W,ppi,0
YJL196C,CYC1,metabolic_pathway,0
YER068W,YOL123W,ppi,0
YFR050C,YOR157C,ppi,0
YLR233C,YLR318W,ppi,0
YGL111W,YNL061W,ppi,0
YDR510W,YML032C,ppi,0
YAL007C,YAL023C,ppi,0
YHR012W,YOR132W,ppi,0
YFR033C,YML129C,ppi,0
YCR063W,YDL220C,ppi,0
YBR272C,YFR004W,ppi,0
YCR079W,YNL071W,ppi,0
YLL006W,YNL055C,ppi,0
YIR012W,YLR075W,ppi,0
YDL064W,YJR076C,ppi,0
YOR244W,YPL260W,acetylation,1
YGL059W,YPL077C,kinase_substrate,1
YLR096W,YIL063C,kinase_substrate,1
YBL056W,YGR205W,ppi,0
YOR244W,YOL012C,acetylation,1
YKL166C,YMR223W,kinase_substrate,1
YDR080W,YMR048W,ppi,0
TLC1,YLR318W,ppi,0
YBR160W,YKL042W,kinase_substrate,1
YDL155W,YNL076W,ppi,0
YGR104C,YOR224C,ppi,0
YDR211W,YGR083C,ppi,0
YPL153C,YBR130C,kinase_substrate,1
YDR436W,YKL193C,ppi,0
YCR012W,YGR192C,metabolic_pathway,0
YDR106W,YHR129C,ppi,0
YCR086W,YJR112W,ppi,0
YDR380W,YCR105W,metabolic_pathway,1
YBR262C,YNL100W,ppi,0
YJR059W,YGL008C,kinase_substrate,1
YNL154C,YBL014C,kinase_substrate,1
YFL009W,YKL159C,ppi,0
YBR118W,YPR119W,ppi,0
YBR160W,YHR164C,kinase_substrate,1
YBL084C,YDR260C,ppi,0
RDN371,YBL004W,ppi,0
YDR116C,YHL004W,ppi,0
YNL030W,YPL129W,ppi,0
YDR468C,YDR484W,ppi,0
YHR052W,YKR081C,ppi,0
YBR060C,YML065W,ppi,0
YGL127C,YMR112C,ppi,0
YBL088C,YLR453C,ppi,0
YKL126W,YKL182W,ppi,0
YER172C,YIL061C,ppi,0
YER036C,YKR057W,ppi,0
YBL016W,YGL055W,kinase_substrate,1
YDR510W,YJL092W,ppi,0
YDL188C,YGL122C,ppi,0
YDR247W,YIL070C,ppi,0
YDL107W,YGR062C,ppi,0
YGL158W,YOR174W,ppi,0
YJR138W,YLR096W,ppi,0
YJR092W,YLR096W,ppi,0
YGR167W,YOR231W,ppi,0
YGL246C,YKR063C,ppi,0
YCL059C,YER102W,ppi,0
YDL074C,YDL140C,ppi,0
YDL140C,YLR418C,ppi,0
YPL209C,YHR090C,kinase_substrate,1
YBL023C,YGL113W,ppi,0
YNL154C,YJR056C,kinase_substrate,1
YFR014C,YGL205W,kinase_substrate,1
YML048W,YOR351C,ppi,0
YIL133C,YKL009W,ppi,0
YKL103C,YLR178C,ppi,0
YDR450W,YNL207W,ppi,0
YBR088C,YOR346W,ppi,0
YMR022W,YOL013C,ppi,0
YJR066W,YMR216C,ppi,0
YDR477W,YNL225C,ppi,0
YMR304W,YNL329C,ppi,0
YFR014C,YGL073W,kinase_substrate,1
YDR202C,YKL080W,ppi,0
YNL106C,YOR109W,metabolic_pathway,0
YER012W,YLL039C,ppi,0
YBR200W,YLR396C,ppi,0
YJR059W,YPR107C,kinase_substrate,1
YGL111W,YKL082C,ppi,0
YDR244W,YLR284C,ppi,0
YER126C,YOR267C,ppi,0
YDL042C,YDR440W,ppi,0
YBL019W,YBR088C,ppi,0
YER028C,YIL106W,ppi,0
YBL030C,YOR065W,ppi,0
YBR009C,YDR356W,ppi,0
YDR118W,YDR260C,ppi,0
YMR197C,YOR327C,ppi,0
YOR332W,YPL240C,ppi,0
YPL011C,YPL129W,ppi,0
YLR409C,SNR17A,ppi,0
YDR247W,YGR249W,kinase_substrate,1
YFL010C,YNL161W,ppi,0
YIL146C,YPR049C,ppi,0
YDR416W,YGR129W,ppi,0
YDL042C,YDR225W,ppi,0
YKL129C,YNL271C,ppi,0
YDL126C,YER012W,ppi,0
YJR053W,YMR055C,ppi,0
YKR101W,YML065W,ppi,0
YER016W,YOR191W,ppi,0
YDR080W,YLR396C,ppi,0
YDL065C,YLR324W,ppi,0
YAL032C,YMR031C,ppi,0
YMR112C,YPL082C,ppi,0
YBL003C,YGL097W,ppi,0
YHR099W,YBR010W,acetylation,1
YKL203C,YNL229C,ppi,0
YGL061C,YKL052C,ppi,0
YBR160W,YGL113W,kinase_substrate,1
YHR135C,YOR078W,kinase_substrate,1
YCR072C,YKL117W,ppi,0
YOR080W,YPR019W,ppi,0
YGL099W,YPL169C,ppi,0
YHR030C,YDL140C,kinase_substrate,1
YOL045W,YPL077C,ppi,0
