#pid	gene_ids	eids	pathfinders	sif_edges
p100	YLR113W|YDL155W|YGL256W|HOG1ID46	edge22160|edge4075|edge10158	paths	YLR113W u YDL155W|YDL155W u YGL256W|YGL256W d HOG1ID46
p101	YFR028C|YPL031C|CDC14RD35	edge3887|edge16861	paths	YFR028C u YPL031C|YPL031C d CDC14RD35
p102	YLR113W|YLR340W|HOG1IA45	edge12083|edge20990	paths	YLR113W d YLR340W|YLR340W d HOG1IA45
p103	YFR028C|YGR092W|YMR290C|CDC14RD31	edge25293|edge23894|edge15032	paths	YFR028C d YGR092W|YGR092W d YMR290C|YMR290C d CDC14RD31
p104	YLR113W|YHR056C|YBL026W|HOG1ID48	edge22627|edge10288|edge17471	paths	YLR113W d YHR056C|YHR056C u YBL026W|YBL026W d HOG1ID48
p105	YFR028C|YMR086W|YJL057C|CDC14RD30	edge12436|edge18288|edge15908	paths	YFR028C u YMR086W|YMR086W u YJL057C|YJL057C d CDC14RD30
p106	YLR113W|YBR010W|YAR019C|HOG1ID48	edge1888|edge17442|edge15796	paths	YLR113W d YBR010W|YBR010W u YAR019C|YAR019C d HOG1ID48
p107	YOR360C|YEL037C|YML010W|PDE2RA67	edge14578|edge9953|edge25404	paths	YOR360C d YEL037C|YEL037C u YML010W|YML010W d PDE2RA67
p108	YLR113W|YBR010W|YAR019C|HOG1ID47	edge1888|edge17442|edge26759	paths	YLR113W d YBR010W|YBR010W u YAR019C|YAR019C d HOG1ID47
p109	YFR028C|YNR009W|YJL057C|CDC14RD30	edge26709|edge23376|edge15908	paths	YFR028C u YNR009W|YNR009W u YJL057C|YJL057C d CDC14RD30
p110	YFR028C|YNL272C|NPI1|YER165W|CDC14ID21	edge17312|edge1869|edge702|edge9211	paths	YFR028C u YNL272C|YNL272C d NPI1|NPI1 d YER165W|YER165W d CDC14ID21
p111	YFR028C|YOL115W|YGR218W|CDC14RD35	edge14357|edge11724|edge251	paths	YFR028C u YOL115W|YOL115W u YGR218W|YGR218W d CDC14RD35
p112	YLR113W|YDR507C|YJL057C|HOG1RD56	edge4227|edge5423|edge14313	paths	YLR113W d YDR507C|YDR507C u YJL057C|YJL057C d HOG1RD56
p113	YFR028C|NPI1|YHR158C|YHR186C|CDC14RD36	edge18360|edge26939|edge9015|edge14318	paths	YFR028C d NPI1|NPI1 d YHR158C|YHR158C u YHR186C|YHR186C d CDC14RD36
p114	YFR028C|YNL293W|YGL008C|CDC14RA40	edge22582|edge296|edge5945	paths	YFR028C u YNL293W|YNL293W u YGL008C|YGL008C d CDC14RA40
p115	YFR028C|YMR047C|YBR009C|CDC14RD31	edge4494|edge4520|edge11716	paths	YFR028C u YMR047C|YMR047C u YBR009C|YBR009C d CDC14RD31
p116	YFR028C|YAL035W|YJL187C|CDC14RD30	edge14849|edge15375|edge17324	paths	YFR028C u YAL035W|YAL035W u YJL187C|YJL187C d CDC14RD30
p117	YFR028C|NPI1|YNL020C|YLL039C|CDC14RD30	edge18360|edge10273|edge10369|edge18817	paths	YFR028C d NPI1|NPI1 d YNL020C|YNL020C u YLL039C|YLL039C d CDC14RD30
p118	YLR113W|YLR340W|YER148W|HOG1ID42	edge12083|edge14075|edge4133	paths	YLR113W d YLR340W|YLR340W u YER148W|YER148W d HOG1ID42
p119	YFR028C|NPI1|YNL020C|YLL039C|CDC14RD31	edge18360|edge10273|edge10369|edge18100	paths	YFR028C d NPI1|NPI1 d YNL020C|YNL020C u YLL039C|YLL039C d CDC14RD31
p120	YFR028C|NPI1|YMR086W|YJL057C|CDC14RD30	edge18360|edge2582|edge18288|edge15908	paths	YFR028C d NPI1|NPI1 d YMR086W|YMR086W u YJL057C|YJL057C d CDC14RD30
p121	YLR113W|YHR200W|YKL168C|HOG1RA51	edge23022|edge4431|edge3703	paths	YLR113W u YHR200W|YHR200W u YKL168C|YKL168C d HOG1RA51
p122	YFR028C|NPI1|YER165W|YGL120C|CDC14ID21	edge18360|edge702|edge3296|edge20068	paths	YFR028C d NPI1|NPI1 d YER165W|YER165W u YGL120C|YGL120C d CDC14ID21
p123	YLR113W|YPL093W|YER148W|HOG1ID42	edge20853|edge18128|edge4133	paths	YLR113W u YPL093W|YPL093W u YER148W|YER148W d HOG1ID42
p124	YFR028C|YPR191W|YBR009C|CDC14RD31	edge464|edge25824|edge11716	paths	YFR028C u YPR191W|YPR191W u YBR009C|YBR009C d CDC14RD31
p125	YFR028C|YIL115C|NPI1|YER165W|CDC14ID21	edge7892|edge22706|edge702|edge9211	paths	YFR028C u YIL115C|YIL115C d NPI1|NPI1 d YER165W|YER165W d CDC14ID21
p126	YFR028C|YDL005C|HOG1ID42|YLR096W|CDC14RA40	edge7882|edge9827|edge2168|edge26115	paths	YFR028C d YDL005C|YDL005C d HOG1ID42|HOG1ID42 d YLR096W|YLR096W d CDC14RA40
p127	YFR028C|NPI1|YDL223C|YPL240C|CDC14RD31	edge18360|edge15874|edge20752|edge25715	paths	YFR028C d NPI1|NPI1 d YDL223C|YDL223C u YPL240C|YPL240C d CDC14RD31
p128	YFR028C|YPL126W|YLR274W|CDC14RD36	edge10383|edge3735|edge10401	paths	YFR028C u YPL126W|YPL126W u YLR274W|YLR274W d CDC14RD36
p129	YFR028C|YKL117W|YLR274W|CDC14RD31	edge20999|edge19307|edge25982	paths	YFR028C u YKL117W|YKL117W u YLR274W|YLR274W d CDC14RD31
p130	YFR028C|YDR404C|YNL207W|CDC14RD30	edge12321|edge15888|edge5346	paths	YFR028C u YDR404C|YDR404C u YNL207W|YNL207W d CDC14RD30
p131	YFR028C|YPL126W|YLR274W|CDC14RD31	edge10383|edge3735|edge25982	paths	YFR028C u YPL126W|YPL126W u YLR274W|YLR274W d CDC14RD31
p132	YLR113W|YNL272C|YGL158W|HOG1ID47	edge25711|edge14654|edge26590	paths	YLR113W u YNL272C|YNL272C u YGL158W|YGL158W d HOG1ID47
p133	YFR028C|NPI1|YJR059W|YIR026C|CDC14ID19	edge18360|edge772|edge25645|edge8148	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YIR026C|YIR026C d CDC14ID19
p134	YLR113W|YNL030W|YHR099W|HOG1RD57	edge6177|edge26103|edge19820	paths	YLR113W u YNL030W|YNL030W u YHR099W|YHR099W d HOG1RD57
p135	YFR028C|YPL031C|YNL207W|CDC14RD30	edge3887|edge9393|edge5346	paths	YFR028C u YPL031C|YPL031C d YNL207W|YNL207W d CDC14RD30
p136	YLR113W|YBR010W|NPI5|YOR153W|HOG1ID42	edge1888|edge13335|edge14997|edge23083	paths	YLR113W d YBR010W|YBR010W d NPI5|NPI5 d YOR153W|YOR153W d HOG1ID42
p137	YLR113W|YPL203W|HOG1ID46	edge1447|edge21469	paths	YLR113W u YPL203W|YPL203W d HOG1ID46
p138	YFR028C|YOR340C|NPR11|YER155C|CDC14RD36	edge6987|edge10526|edge11075|edge4358	paths	YFR028C u YOR340C|YOR340C d NPR11|NPR11 d YER155C|YER155C d CDC14RD36
p139	YFR028C|YNL110C|YBR109C|CDC14RD31	edge557|edge18740|edge504	paths	YFR028C u YNL110C|YNL110C u YBR109C|YBR109C d CDC14RD31
p140	YFR028C|YPR141C|YBR081C|CDC14RD31	edge1226|edge20154|edge15283	paths	YFR028C u YPR141C|YPR141C u YBR081C|YBR081C d CDC14RD31
p141	YFR028C|YKL117W|YOL012C|CDC14RD31	edge20999|edge11938|edge21568	paths	YFR028C u YKL117W|YKL117W u YOL012C|YOL012C d CDC14RD31
p142	YLR113W|YFR028C|YPL031C|HOG1ID42	edge13967|edge3887|edge14434	paths	YLR113W u YFR028C|YFR028C u YPL031C|YPL031C d HOG1ID42
p143	YFR028C|YKL117W|YLR274W|CDC14RD36	edge20999|edge19307|edge10401	paths	YFR028C u YKL117W|YKL117W u YLR274W|YLR274W d CDC14RD36
p144	YLR113W|YHR200W|YER148W|HOG1ID42	edge23022|edge23552|edge4133	paths	YLR113W u YHR200W|YHR200W u YER148W|YER148W d HOG1ID42
p145	YLR113W|YCR105W|YDR224C|HOG1ID47	edge13736|edge2843|edge438	paths	YLR113W d YCR105W|YCR105W u YDR224C|YDR224C d HOG1ID47
p146	YLR113W|YBR010W|YDR451C|HOG1ID42	edge1888|edge17091|edge18302	paths	YLR113W d YBR010W|YBR010W u YDR451C|YDR451C d HOG1ID42
p147	YFR028C|NPI1|YDL173W|YGL120C|CDC14RD30	edge18360|edge20691|edge21621|edge19662	paths	YFR028C d NPI1|NPI1 d YDL173W|YDL173W u YGL120C|YGL120C d CDC14RD30
p148	YFR028C|YPL031C|YMR047C|CDC14RD35	edge3887|edge24918|edge20660	paths	YFR028C u YPL031C|YPL031C d YMR047C|YMR047C d CDC14RD35
p149	YLR113W|YNR006W|NPR16|YPR019W|HOG1ID42	edge22372|edge22931|edge7053|edge5723	paths	YLR113W u YNR006W|YNR006W d NPR16|NPR16 d YPR019W|YPR019W d HOG1ID42
p150	YFR028C|YOR117W|NPR12|YML035C|CDC14RD36	edge17922|edge631|edge24239|edge13286	paths	YFR028C u YOR117W|YOR117W d NPR12|NPR12 d YML035C|YML035C d CDC14RD36
p151	YFR028C|YGL120C|CDC14ID21	edge23739|edge20068	paths	YFR028C u YGL120C|YGL120C d CDC14ID21
p152	YFR028C|YMR165C|YDL147W|CDC14RD31	edge1149|edge14309|edge25617	paths	YFR028C u YMR165C|YMR165C u YDL147W|YDL147W d CDC14RD31
p153	YLR113W|YGR218W|YOR206W|HOG1ID42	edge7024|edge13151|edge23208	paths	YLR113W d YGR218W|YGR218W u YOR206W|YOR206W d HOG1ID42
p154	YLR113W|YDR123C|YGL158W|HOG1ID47	edge14033|edge14181|edge26590	paths	YLR113W d YDR123C|YDR123C u YGL158W|YGL158W d HOG1ID47
p155	YFR028C|NPI1|YER165W|CDC14ID21	edge18360|edge702|edge9211	paths	YFR028C d NPI1|NPI1 d YER165W|YER165W d CDC14ID21
p156	YLR113W|YOR144C|YBL026W|HOG1ID48	edge1080|edge17680|edge17471	paths	YLR113W u YOR144C|YOR144C u YBL026W|YBL026W d HOG1ID48
p157	YLR113W|YLR206W|YDR280W|HOG1ID47	edge13761|edge16796|edge6782	paths	YLR113W d YLR206W|YLR206W u YDR280W|YDR280W d HOG1ID47
p158	YFR028C|NPI1|YBR059C|YKL014C|CDC14RD32	edge18360|edge22990|edge14725|edge14610	paths	YFR028C d NPI1|NPI1 d YBR059C|YBR059C d YKL014C|YKL014C d CDC14RD32
p159	YFR028C|YGL099W|YMR115W|CDC14RD35	edge22575|edge21877|edge16092	paths	YFR028C d YGL099W|YGL099W u YMR115W|YMR115W d CDC14RD35
p160	YLR113W|YER177W|YAR019C|HOG1ID48	edge13442|edge13611|edge15796	paths	YLR113W u YER177W|YER177W d YAR019C|YAR019C d HOG1ID48
p161	YFR028C|YKL117W|YDL140C|CDC14RA40	edge20999|edge11790|edge15640	paths	YFR028C u YKL117W|YKL117W u YDL140C|YDL140C d CDC14RA40
p162	YFR028C|YPL031C|YGR047C|CDC14RD31	edge3887|edge7909|edge9870	paths	YFR028C u YPL031C|YPL031C d YGR047C|YGR047C d CDC14RD31
p163	YOR360C|YIL105C|YPL240C|PDE2RA76	edge13705|edge228|edge6718	paths	YOR360C d YIL105C|YIL105C u YPL240C|YPL240C d PDE2RA76
p164	YFR028C|YPL031C|YML035C|CDC14RD36	edge3887|edge22320|edge13286	paths	YFR028C u YPL031C|YPL031C d YML035C|YML035C d CDC14RD36
p165	YFR028C|YGL120C|YOR231W|CDC14RD30	edge23739|edge26453|edge21286	paths	YFR028C u YGL120C|YGL120C u YOR231W|YOR231W d CDC14RD30
p166	YFR028C|YKL117W|YBR009C|CDC14RD31	edge20999|edge11490|edge11716	paths	YFR028C u YKL117W|YKL117W u YBR009C|YBR009C d CDC14RD31
p167	YLR113W|YER177W|YLL024C|HOG1ID46	edge13442|edge5279|edge21074	paths	YLR113W u YER177W|YER177W u YLL024C|YLL024C d HOG1ID46
p168	YLR113W|YER177W|YAR019C|HOG1ID47	edge13442|edge13611|edge26759	paths	YLR113W u YER177W|YER177W d YAR019C|YAR019C d HOG1ID47
p169	YFR028C|YGR048W|YHR186C|CDC14ID19	edge23470|edge16773|edge8084	paths	YFR028C d YGR048W|YGR048W u YHR186C|YHR186C d CDC14ID19
p170	YFR028C|YDL005C|YML035C|CDC14RD36	edge7882|edge17249|edge13286	paths	YFR028C d YDL005C|YDL005C u YML035C|YML035C d CDC14RD36
p171	YLR113W|YPL203W|YER148W|HOG1ID42	edge1447|edge12300|edge4133	paths	YLR113W u YPL203W|YPL203W u YER148W|YER148W d HOG1ID42
p172	YFR028C|YPL248C|YLR347C|CDC14RD36	edge14820|edge25333|edge13269	paths	YFR028C u YPL248C|YPL248C u YLR347C|YLR347C d CDC14RD36
p173	YLR113W|YDL160C|YIR010W|HOG1ID46	edge791|edge21614|edge15681	paths	YLR113W u YDL160C|YDL160C u YIR010W|YIR010W d HOG1ID46
p174	YOR360C|YOR310C|PDE2RA68	edge822|edge12067	paths	YOR360C u YOR310C|YOR310C d PDE2RA68
p175	YFR028C|YOR340C|NPR11|YER155C|CDC14RD31	edge6987|edge10526|edge11075|edge17088	paths	YFR028C u YOR340C|YOR340C d NPR11|NPR11 d YER155C|YER155C d CDC14RD31
p176	YFR028C|YIL115C|YER165W|CDC14ID21	edge7892|edge25602|edge9211	paths	YFR028C u YIL115C|YIL115C u YER165W|YER165W d CDC14ID21
p177	YFR028C|YGR162W|YJL187C|CDC14RD30	edge3896|edge11362|edge17324	paths	YFR028C d YGR162W|YGR162W u YJL187C|YJL187C d CDC14RD30
p178	YLR113W|YBR010W|YJL057C|HOG1RD56	edge1888|edge10109|edge14313	paths	YLR113W d YBR010W|YBR010W u YJL057C|YJL057C d HOG1RD56
p179	YFR028C|YHR084W|YMR290C|CDC14RD31	edge22135|edge13811|edge15032	paths	YFR028C u YHR084W|YHR084W u YMR290C|YMR290C d CDC14RD31
p180	YFR028C|YPL031C|YER165W|CDC14ID21	edge3887|edge7558|edge9211	paths	YFR028C u YPL031C|YPL031C d YER165W|YER165W d CDC14ID21
p181	YLR113W|YPR016C|YGL158W|HOG1ID47	edge12678|edge8096|edge26590	paths	YLR113W u YPR016C|YPR016C u YGL158W|YGL158W d HOG1ID47
p182	YOR360C|YIL105C|YKL168C|PDE2RA67	edge13705|edge18706|edge5873	paths	YOR360C d YIL105C|YIL105C u YKL168C|YKL168C d PDE2RA67
p183	YFR028C|YPL031C|YLL039C|CDC14RD31	edge3887|edge22694|edge18100	paths	YFR028C u YPL031C|YPL031C d YLL039C|YLL039C d CDC14RD31
p184	YOR360C|YIL105C|YPL240C|PDE2RA68	edge13705|edge228|edge2552	paths	YOR360C d YIL105C|YIL105C u YPL240C|YPL240C d PDE2RA68
p185	YFR028C|YPL031C|YLL039C|CDC14RD30	edge3887|edge22694|edge18817	paths	YFR028C u YPL031C|YPL031C d YLL039C|YLL039C d CDC14RD30
p186	YLR113W|YHR200W|YER165W|HOG1IA43	edge23022|edge2062|edge8532	paths	YLR113W u YHR200W|YHR200W u YER165W|YER165W d HOG1IA43
p187	YFR028C|YHR084W|YDL132W|CDC14RD30	edge22135|edge21153|edge26713	paths	YFR028C u YHR084W|YHR084W u YDL132W|YDL132W d CDC14RD30
p188	YFR028C|NPI1|YDL223C|YGR218W|CDC14RD35	edge18360|edge15874|edge5743|edge251	paths	YFR028C d NPI1|NPI1 d YDL223C|YDL223C u YGR218W|YGR218W d CDC14RD35
p189	YOR360C|YIL105C|YPL240C|PDE2RA70	edge13705|edge228|edge25908	paths	YOR360C d YIL105C|YIL105C u YPL240C|YPL240C d PDE2RA70
p190	YLR113W|YKL210W|YFR034C|HOG1ID46	edge24062|edge19446|edge11969	paths	YLR113W d YKL210W|YKL210W u YFR034C|YFR034C d HOG1ID46
p191	YLR113W|YDR460W|YNL227C|HOG1ID46	edge7014|edge21264|edge27005	paths	YLR113W d YDR460W|YDR460W u YNL227C|YNL227C d HOG1ID46
p192	YFR028C|YOR065W|YGL120C|CDC14RD30	edge548|edge12178|edge19662	paths	YFR028C u YOR065W|YOR065W u YGL120C|YGL120C d CDC14RD30
p193	YOR360C|YOR310C|PDE2RA68|YER155C|PDE2RA70	edge822|edge12067|edge6546|edge19525	paths	YOR360C u YOR310C|YOR310C d PDE2RA68|PDE2RA68 d YER155C|YER155C d PDE2RA70
p194	YFR028C|YOR117W|YDL229W|CDC14RD31	edge17922|edge16348|edge4490	paths	YFR028C u YOR117W|YOR117W u YDL229W|YDL229W d CDC14RD31
p195	YFR028C|YPL031C|HOG1ID42|YLR096W|CDC14RA40	edge3887|edge14434|edge2168|edge26115	paths	YFR028C u YPL031C|YPL031C d HOG1ID42|HOG1ID42 d YLR096W|YLR096W d CDC14RA40
p196	YFR028C|YGL120C|YJL187C|CDC14RD30	edge23739|edge18481|edge17324	paths	YFR028C u YGL120C|YGL120C u YJL187C|YJL187C d CDC14RD30
p197	YFR028C|YPL031C|YOR231W|CDC14RD30	edge3887|edge18577|edge21286	paths	YFR028C u YPL031C|YPL031C d YOR231W|YOR231W d CDC14RD30
p198	YFR028C|YGL120C|CDC14RD30	edge23739|edge19662	paths	YFR028C u YGL120C|YGL120C d CDC14RD30
p199	YLR113W|YNL002C|YIR010W|HOG1ID46	edge3843|edge22041|edge15681	paths	YLR113W u YNL002C|YNL002C u YIR010W|YIR010W d HOG1ID46
p200	YFR028C|NPI1|YJR059W|YDL140C|CDC14RA40	edge18360|edge772|edge19845|edge15640	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W d YDL140C|YDL140C d CDC14RA40
p201	YFR028C|NPI1|YGL173C|NPR16|YPR019W|CDC14RD31	edge18360|edge17211|edge23806|edge7053|edge7874	paths	YFR028C d NPI1|NPI1 d YGL173C|YGL173C d NPR16|NPR16 d YPR019W|YPR019W d CDC14RD31
p202	YFR028C|YGR092W|YOR326W|CDC14RD30	edge25293|edge1799|edge9653	paths	YFR028C d YGR092W|YGR092W u YOR326W|YOR326W d CDC14RD30
p203	YFR028C|YOR117W|NPR12|YNL298W|CDC14ID21	edge17922|edge631|edge9492|edge18002	paths	YFR028C u YOR117W|YOR117W d NPR12|NPR12 d YNL298W|YNL298W d CDC14ID21
p204	YLR113W|YDL155W|YOL113W|HOG1IA45	edge22160|edge26760|edge4412	paths	YLR113W u YDL155W|YDL155W u YOL113W|YOL113W d HOG1IA45
p205	YFR028C|YLR018C|YGL240W|CDC14RD31	edge25068|edge18455|edge2397	paths	YFR028C u YLR018C|YLR018C u YGL240W|YGL240W d CDC14RD31
