#pid	gene_ids	eids	pathfinders	sif_edges
p241	YFR028C|YOL051W|NPI3|YER155C|CDC14RD31	edge13551|edge19629|edge18008|edge17088	paths	YFR028C u YOL051W|YOL051W d NPI3|NPI3 d YER155C|YER155C d CDC14RD31
p242	YFR028C|YOL051W|NPI3|YER155C|CDC14RD36	edge13551|edge19629|edge18008|edge4358	paths	YFR028C u YOL051W|YOL051W d NPI3|NPI3 d YER155C|YER155C d CDC14RD36
p243	YFR028C|YNL330C|YBR109C|CDC14RD31	edge11148|edge6239|edge504	paths	YFR028C u YNL330C|YNL330C u YBR109C|YBR109C d CDC14RD31
p244	YFR028C|YER133W|YLL039C|CDC14RD30	edge14185|edge5939|edge18817	paths	YFR028C u YER133W|YER133W u YLL039C|YLL039C d CDC14RD30
p245	YFR028C|YBL064C|YLL039C|CDC14RD30	edge4950|edge7189|edge18817	paths	YFR028C u YBL064C|YBL064C u YLL039C|YLL039C d CDC14RD30
p246	YFR028C|NPI1|YJR059W|YDR170C|CDC14ID19	edge18360|edge772|edge7034|edge395	paths	YFR028C d NPI1|NPI1 d YJR059W|YJR059W u YDR170C|YDR170C d CDC14ID19
p247	YFR028C|YMR037C|YGL120C|CDC14ID21	edge8706|edge18267|edge20068	paths	YFR028C u YMR037C|YMR037C u YGL120C|YGL120C d CDC14ID21
p248	YFR028C|YKL145W|YOL012C|CDC14RD31	edge9329|edge12088|edge21568	paths	YFR028C u YKL145W|YKL145W u YOL012C|YOL012C d CDC14RD31
p249	YFR028C|YER133W|YLL039C|CDC14RD31	edge14185|edge5939|edge18100	paths	YFR028C u YER133W|YER133W u YLL039C|YLL039C d CDC14RD31
p250	YLR113W|YDL155W|YPL203W|HOG1ID46	edge22160|edge10931|edge21469	paths	YLR113W u YDL155W|YDL155W u YPL203W|YPL203W d HOG1ID46
p251	YFR028C|NPI1|YER165W|YGR200C|CDC14ID22	edge18360|edge702|edge21131|edge6771	paths	YFR028C d NPI1|NPI1 d YER165W|YER165W u YGR200C|YGR200C d CDC14ID22
p252	YFR028C|YLR113W|YGR218W|CDC14RD35	edge13967|edge7024|edge251	paths	YFR028C u YLR113W|YLR113W d YGR218W|YGR218W d CDC14RD35
p253	YFR028C|YPR191W|YBR081C|CDC14RD31	edge464|edge19202|edge15283	paths	YFR028C u YPR191W|YPR191W u YBR081C|YBR081C d CDC14RD31
p254	YFR028C|YPL031C|YOL012C|CDC14RD31	edge3887|edge21748|edge21568	paths	YFR028C u YPL031C|YPL031C d YOL012C|YOL012C d CDC14RD31
p255	YLR113W|YNL272C|YER165W|HOG1IA43	edge25711|edge3292|edge8532	paths	YLR113W u YNL272C|YNL272C u YER165W|YER165W d HOG1IA43
p256	YLR113W|YFR028C|YDL005C|HOG1ID42	edge13967|edge7882|edge9827	paths	YLR113W u YFR028C|YFR028C d YDL005C|YDL005C d HOG1ID42
p257	YLR113W|YNL272C|NPI1|YER165W|HOG1IA43	edge25711|edge1869|edge702|edge8532	paths	YLR113W u YNL272C|YNL272C d NPI1|NPI1 d YER165W|YER165W d HOG1IA43
p258	YLR113W|YDL160C|YHR099W|HOG1RD57	edge791|edge16509|edge19820	paths	YLR113W u YDL160C|YDL160C u YHR099W|YHR099W d HOG1RD57
