#nodeID	final
YFR028C	0.5074050440843848
YJL076W	0.005095142093096487
YLR096W	0.004825341447181909
YDL042C	0.004067884826730958
YDL155W	0.003955941972912453
YDR247W	0.003860588113885748
YML064C	0.003819593383498205
YIL035C	0.003753966931283301
YOR061W	0.0037503391481660936
YDR356W	0.0037005269674570667
YDR510W	0.0036940028378428255
YBR274W	0.0036543994697427803
YJL128C	0.003540144625243514
YER177W	0.0034946483583019146
YJR053W	0.003492296739429182
YMR270C	0.003388970798461512
YBL085W	0.0033785883320482323
YMR055C	0.003355867748558486
YHR061C	0.003340628772750491
YNL307C	0.003327860656747946
YGR052W	0.0032822404990120813
YDR477W	0.0032790387564382477
YEL032W	0.003270579441577145
YKR010C	0.0032702649417819434
YCR086W	0.0032523026785249024
YIL106W	0.0032432421724715188
YBR060C	0.0032364907127012234
YAR019C	0.003230019450956641
YDR439W	0.0032284016800648574
YOR119C	0.0032215819305004448
YBR275C	0.0032143577670959832
YGR140W	0.0031955452679609114
YBL016W	0.003176110766998476
YGR040W	0.003145575318230094
YBR156C	0.0031281518269347737
YKL001C	0.0031273964192223415
YKL203C	0.003125605115222089
YDL140C	0.0031088955319819693
YDL025C	0.0031008571594744
Repressed_.....sP....._No_Phenotype_Exists	0.003098008997531755
YLR019W	0.003073184714794317
YNL271C	0.003072870324740964
YJR057W	0.003055801030536906
YBL025W	0.0030557192766812787
YOR058C	0.003053682093826318
YPL209C	0.0030317609809534644
YJL095W	0.003027219799255776
YER082C	0.0030264389296784503
YJR066W	0.0030253865963169807
YDR110W	0.0030227131920221566
YDL230W	0.003022251841431694
YNL152W	0.0030188196384645666
YBR038W	0.0030160165777037354
YNL161W	0.003011867596726329
YER125W	0.0030045364125256724
YPR042C	0.0030035067362818085
YOR265W	0.003001667839109303
YHR076W	0.002998712563224103
YGR097W	0.0029977798892204376
YLR079W	0.0029900341260956638
YER129W	0.0029709209442099448
YJL187C	0.0029661423923154104
YAL024C	0.0029630054955135936
YIL159W	0.00295477627701955
YJL194W	0.0029364364580276845
YGL003C	0.0029286906538643176
YDL159W	0.002927519021833437
YCL024W	0.002920404042069253
YAL047C	0.002915708229848744
YHR118C	0.002914352827587306
YLR182W	0.002909306307565243
YOR093C	0.002899734396874381
YKL108W	0.002895212743555049
YNL001W	0.002889141712220897
YPL269W	0.002885377433008191
YLR131C	0.0028824754343775316
YDL149W	0.002881119820770746
YPL267W	0.002874936300909697
YKR021W	0.0028654949781564535
YGL086W	0.0028540323556999142
Repressed_..RS.s......_No_Phenotype_Exists	0.0028539776916386966
YDL101C	0.002850261418671368
Repressed_.....sP....._hog1_Repressed_Defective	0.002849616441524656
YOL078W	0.002848257801789208
YIR026C	0.0028304449869580284
YGR203W	0.002830388877167969
YCL014W	0.002815857210253986
Induced_.....sP....._pde2_Induced_Defective	0.002811634465217295
YDR146C	0.00279979997763631
Repressed_R.....s......_cdc14_Repressed_Defective	0.002790974836093022
YIL095W	0.0027659060957809364
YDR239C	0.0027574786623018226
Repressed_..RS.s......_hog1_Repressed_Defective	0.002754219474333575
YDL129W	0.002728934511691228
YLL039C	0.0016397091942521329
YEL061C	0.0015432374640964408
