matchType=CatSet(Constituent|motif_match|motif_unmatched|Output|Shared_Interaction|unknown_recognition_motif)	Interactor_A	Interactor_B	Dir	Sign	Annotation=CatSet(Kinase|Phosphatase|Yes)
Constituent	cdc14ia4	YDR310C	1	0		
Constituent	cdc14id5	YHR149C	1	0		
Constituent	cdc14id5	YHR158C	1	0		
Constituent	hog1id28	YDR093W	1	0		
Constituent	hog1id28	YDR145W	1	0		
Constituent	hog1id28	YDR170C	1	0		
Constituent	hog1id28	YDR385W	1	0		
Constituent	hog1id28	YDR475C	1	0		
Constituent	hog1id28	YGR162W	1	0		
Constituent	hog1id28	YLR350W	1	0		
Constituent	hog1id28	YLR433C	1	0	Phosphatase	
Constituent	hog1id28	YPL242C	1	0		
Constituent	hog1id28	YPR124W	1	0		
Constituent	hog1id28	YDR310C	1	0		
Constituent	hog1id28	YJL070C	1	0		
Constituent	hog1id28	YKL054C	1	0		
Constituent	npi62	YBR225W	1	0		
Constituent	npi62	YBR245C	1	0		
Constituent	npi62	YCL037C	1	0		
Constituent	npi62	YDL226C	1	0		
Constituent	npi62	YFL021W	1	0		
Constituent	npi62	YHR097C	1	0		
Constituent	npi62	YHR102W	1	0	Kinase	
Constituent	npi62	YKL204W	1	0		
Constituent	npi62	YKR090W	1	0		
Constituent	npi62	YLR450W	1	0		
Constituent	npi62	YML075C	1	0		
Constituent	npi62	YMR275C	1	0		
Constituent	npi62	YNL166C	1	0		
Constituent	npi62	YPL226W	1	0		
Constituent	pde2id43	YAL019W	1	0		
Constituent	pde2id43	YBL047C	1	0		
Constituent	pde2id43	YFL007W	1	0		
Constituent	pde2id43	YGL181W	1	0		
Constituent	pde2id43	YIR006C	1	0		
Constituent	pde2id43	YLL040C	1	0		
Constituent	pde2id43	YMR184W	1	0		
Constituent	pde2id43	YMR275C	1	0		
Constituent	pde2id43	YPL085W	1	0		
Constituent	pde2id43	YPR041W	1	0		
Constituent	pde2id43	YJL070C	1	0		
Constituent	pde2id43	YKL054C	1	0		
Constituent	pde2id43	YPL226W	1	0		
Constituent	cdc14ia6	YGR130C	1	0		
Constituent	cdc14ia6	YIR003W	1	0		
Constituent	cdc14ia6	YOR227W	1	0		
Constituent	cdc14ia6	YFR016C	1	0		
Constituent	cdc14id7	YFL025C	1	0		
Constituent	cdc14id7	YFR048W	1	0		
Constituent	cdc14id7	YML072C	1	0		
Constituent	cdc14id7	YHR158C	1	0		
Constituent	cdc14id7	YIR003W	1	0		
Constituent	cdc14id7	YJR059W	1	0	Kinase	
Constituent	hog1id29	YBR086C	1	0		
Constituent	hog1id29	YDL117W	1	0	Yes	
Constituent	hog1id29	YDR233C	1	0		
Constituent	hog1id29	YDR292C	1	0		
Constituent	hog1id29	YDR302W	1	0		
Constituent	hog1id29	YDR326C	1	0		
Constituent	hog1id29	YER005W	1	0		
Constituent	hog1id29	YER157W	1	0		
Constituent	hog1id29	YGR180C	1	0		
Constituent	hog1id29	YHR195W	1	0		
Constituent	hog1id29	YIR003W	1	0		
Constituent	hog1id29	YJL026W	1	0		
Constituent	hog1id29	YKL054C	1	0		
Constituent	hog1id29	YLR096W	1	0	Kinase	
Constituent	hog1id29	YLR248W	1	0	Kinase	
Constituent	hog1id29	YLR257W	1	0	Yes	
Constituent	hog1id29	YML100W	1	0		
Constituent	hog1id29	YMR205C	1	0		
Constituent	hog1id29	YMR219W	1	0		
Constituent	hog1id29	YNL321W	1	0		
Constituent	hog1id29	YOL070C	1	0		
Constituent	hog1id29	YOL087C	1	0		
Constituent	hog1id29	YOR109W	1	0		
Constituent	hog1id29	YOR264W	1	0		
Constituent	hog1id29	YPL037C	1	0		
Constituent	hog1id29	YFR016C	1	0		
Constituent	hog1id29	YHR158C	1	0	Yes	
Constituent	hog1id29	YJR059W	1	0	Kinase	
Constituent	hog1id29	YLR452C	1	0		
Constituent	npi63	YBR059C	1	0	Kinase	
Constituent	npi63	YBR068C	1	0		
Constituent	npi63	YDL173W	1	0		
Constituent	npi63	YDL223C	1	0		
Constituent	npi63	YER002W	1	0		
Constituent	npi63	YER165W	1	0		
Constituent	npi63	YGL173C	1	0		
Constituent	npi63	YGR097W	1	0		
Constituent	npi63	YGR162W	1	0	Yes	
Constituent	npi63	YHR158C	1	0		
Constituent	npi63	YJR059W	1	0	Kinase|Yes
Constituent	npi63	YKL195W	1	0		
Constituent	npi63	YLR410W	1	0		
Constituent	npi63	YMR086W	1	0		
Constituent	npi63	YMR153W	1	0		
Constituent	npi63	YNL020C	1	0	Kinase|Yes
Constituent	npi63	YNL321W	1	0		
Constituent	npi63	YNR012W	1	0		
Constituent	pde2id44	YKR023W	1	0		
Constituent	pde2id44	YLR452C	1	0		
Constituent	cdc14ia8	YMR031C	1	0		
Constituent	cdc14ia8	YML027W	1	0		
Constituent	cdc14id9	YFR053C	1	0		
Constituent	cdc14id9	YJL129C	1	0		
Constituent	cdc14id9	YER165W	1	0		
Constituent	cdc14id9	YMR002W	1	0		
Constituent	cdc14id9	YNL267W	1	0		
Constituent	cdc14id9	YOR204W	1	0		
Constituent	hog1ia30	YPL190C	1	0		
Constituent	hog1ia30	YER165W	1	0		
Constituent	hog1id31	YCL005W	1	0		
Constituent	hog1id31	YDR170C	1	0		
Constituent	hog1id31	YDR348C	1	0		
Constituent	hog1id31	YDR372C	1	0		
Constituent	hog1id31	YGL099W	1	0		
Constituent	hog1id31	YGR068C	1	0		
Constituent	hog1id31	YJL029C	1	0		
Constituent	hog1id31	YLR133W	1	0		
Constituent	hog1id31	YLR259C	1	0		
Constituent	hog1id31	YML101C	1	0		
Constituent	hog1id31	YML111W	1	0		
Constituent	hog1id31	YML115C	1	0		
Constituent	hog1id31	YMR261C	1	0		
Constituent	hog1id31	YMR275C	1	0		
Constituent	hog1id31	YNL049C	1	0		
Constituent	hog1id31	YNL224C	1	0		
Constituent	hog1id31	YOR018W	1	0		
Constituent	hog1id31	YPL180W	1	0		
Constituent	hog1id31	YML027W	1	0		
Constituent	hog1id31	YMR002W	1	0		
Constituent	hog1id31	YNL267W	1	0		
Constituent	hog1id31	YOL138C	1	0		
Constituent	hog1id31	YOR204W	1	0		
Constituent	hog1id31	YPL070W	1	0		
Constituent	npi64	YAR002W	1	0		
Constituent	npi64	YBR172C	1	0		
Constituent	npi64	YDR017C	1	0		
