matchType=CatSet(Constituent|motif_match|motif_unmatched|Output|Shared_Interaction|unknown_recognition_motif)	Interactor_A	Interactor_B	Dir	Sign	Annotation=CatSet(Kinase|Phosphatase|Yes)
Constituent	npr72	YCR073WA	1	0		
Constituent	npr72	YDR005C	1	0		
Constituent	npr72	YDR006C	1	0		
Constituent	npr72	YDR293C	1	0		
Constituent	npr72	YDR505C	1	0		
Constituent	npr72	YDR508C	1	0		
Constituent	npr72	YFR019W	1	0		
Constituent	npr72	YGR090W	1	0		
Constituent	npr72	YIL107C	1	0		
Constituent	npr72	YJL084C	1	0		
Constituent	npr72	YJR049C	1	0		
Constituent	npr72	YKL008C	1	0		
Constituent	npr72	YKL166C	1	0	Kinase	
Constituent	npr72	YLR310C	1	0		
Constituent	npr72	YLR410W	1	0		
Constituent	npr72	YNL074C	1	0		
Constituent	npr72	YNL298W	1	0	Kinase	
Constituent	npr72	YOR219C	1	0		
Constituent	npr72	YPL032C	1	0		
Constituent	npr72	YPL085W	1	0		
Constituent	pde2ra54	YJL020C	1	0		
Constituent	pde2ra54	YML016C	1	0	Phosphatase	
Constituent	pde2ra54	YBR130C	1	0		
Constituent	pde2ra54	YHR097C	1	0		
Constituent	pde2ra54	YKL181W	1	0		
Constituent	pde2ra54	YNL098C	1	0		
Constituent	cdc14rd20	YER155C	1	0		
Constituent	cdc14rd20	YGL021W	1	0	Kinase	
Constituent	cdc14rd20	YGR008C	1	0		
Constituent	cdc14rd20	YHR082C	1	0	Kinase	
Constituent	cdc14rd20	YIL135C	1	0	Yes	
Constituent	cdc14rd20	YKL101W	1	0	Kinase	
Constituent	cdc14rd20	YLR096W	1	0	Kinase	
Constituent	cdc14rd20	YLR371W	1	0		
Constituent	cdc14rd20	YNR031C	1	0	Kinase	
Constituent	cdc14rd20	YOR008C	1	0		
Constituent	cdc14rd20	YOR070C	1	0		
Constituent	cdc14rd20	YER088C	1	0		
Constituent	hog1rd37	YNL027W	1	0		
Constituent	hog1rd37	YER088C	1	0		
Constituent	npr73	YAL017W	1	0	Kinase	
Constituent	npr73	YBR001C	1	0		
Constituent	npr73	YBR028C	1	0	Kinase	
Constituent	npr73	YBR157C	1	0		
Constituent	npr73	YBR225W	1	0		
Constituent	npr73	YBR235W	1	0		
Constituent	npr73	YCL010C	1	0		
Constituent	npr73	YCL011C	1	0		
Constituent	npr73	YCR023C	1	0		
Constituent	npr73	YCR077C	1	0		
Constituent	npr73	YDL105W	1	0		
Constituent	npr73	YDL189W	1	0		
Constituent	npr73	YDR001C	1	0		
Constituent	npr73	YDR005C	1	0		
Constituent	npr73	YDR207C	1	0		
Constituent	npr73	YDR227W	1	0		
Constituent	npr73	YDR293C	1	0	Yes	
Constituent	npr73	YDR422C	1	0		
Constituent	npr73	YDR436W	1	0	Phosphatase	
Constituent	npr73	YER088C	1	0		
Constituent	npr73	YER093C	1	0		
Constituent	npr73	YER114C	1	0		
Constituent	npr73	YER132C	1	0		
Constituent	npr73	YFL004W	1	0		
Constituent	npr73	YFL042C	1	0		
Constituent	npr73	YFR034C	1	0		
Constituent	npr73	YGL197W	1	0		
Constituent	npr73	YHL003C	1	0		
Constituent	npr73	YHR009C	1	0		
Constituent	npr73	YHR082C	1	0	Kinase	
Constituent	npr73	YHR117W	1	0		
Constituent	npr73	YIL047C	1	0		
Constituent	npr73	YIL074C	1	0		
Constituent	npr73	YJL005W	1	0		
Constituent	npr73	YJL020C	1	0		
Constituent	npr73	YJL042W	1	0		
Constituent	npr73	YJL084C	1	0		
Constituent	npr73	YJL146W	1	0		
Constituent	npr73	YJR001W	1	0		
Constituent	npr73	YJR049C	1	0		
Constituent	npr73	YKL008C	1	0		
Constituent	npr73	YKL064W	1	0		
Constituent	npr73	YKL088W	1	0		
Constituent	npr73	YKL185W	1	0		
Constituent	npr73	YKR031C	1	0		
Constituent	npr73	YLL018C	1	0		
Constituent	npr73	YLL029W	1	0		
Constituent	npr73	YLR045C	1	0		
Constituent	npr73	YLR190W	1	0		
Constituent	npr73	YLR219W	1	0		
Constituent	npr73	YLR259C	1	0		
Constituent	npr73	YLR319C	1	0		
Constituent	npr73	YLR371W	1	0		
Constituent	npr73	YLR410W	1	0		
Constituent	npr73	YMR037C	1	0		
Constituent	npr73	YMR219W	1	0		
Constituent	npr73	YNL076W	1	0		
Constituent	npr73	YNL167C	1	0		
Constituent	npr73	YOL081W	1	0		
Constituent	npr73	YOR018W	1	0		
Constituent	npr73	YOR093C	1	0		
Constituent	npr73	YOR156C	1	0		
Constituent	npr73	YOR324C	1	0		
Constituent	npr73	YOR352W	1	0		
Constituent	npr73	YPL019C	1	0		
Constituent	npr73	YPR032W	1	0		
Constituent	npr73	YPR091C	1	0		
Constituent	pde2ra55	YKL140W	1	0		
Constituent	pde2ra55	YLL015W	1	0		
Constituent	cdc14rd21	YGR278W	1	0		
Constituent	cdc14rd21	YHL023C	1	0		
Constituent	cdc14rd21	YLR257W	1	0		
Constituent	cdc14rd21	YML029W	1	0		
Constituent	cdc14rd21	YOR204W	1	0		
Constituent	cdc14rd21	YPR095C	1	0		
Constituent	hog1rd38	YBL085W	1	0		
Constituent	hog1rd38	YDR006C	1	0		
Constituent	hog1rd38	YDR379W	1	0		
Constituent	hog1rd38	YJL128C	1	0	Kinase	
Constituent	hog1rd38	YEL046C	1	0		
Constituent	hog1rd38	YIL129C	1	0		
Constituent	npr74	YAL031C	1	0		
Constituent	npr74	YBL051C	1	0		
Constituent	npr74	YBL085W	1	0		
Constituent	npr74	YDL070W	1	0		
Constituent	npr74	YDR186C	1	0		
Constituent	npr74	YDR326C	1	0		
Constituent	npr74	YEL015W	1	0		
Constituent	npr74	YEL022W	1	0		
Constituent	npr74	YER088C	1	0		
Constituent	npr74	YER129W	1	0	Kinase	
Constituent	npr74	YER155C	1	0		
Constituent	npr74	YGL178W	1	0		
Constituent	npr74	YGR196C	1	0		
Constituent	npr74	YGR237C	1	0		
Constituent	npr74	YHR102W	1	0	Kinase	
Constituent	npr74	YHR159W	1	0		
Constituent	npr74	YIL129C	1	0		
Constituent	npr74	YIL159W	1	0		
Constituent	npr74	YKL176C	1	0		
Constituent	npr74	YLR190W	1	0		
Constituent	npr74	YLR309C	1	0		
Constituent	npr74	YLR405W	1	0		
Constituent	npr74	YML017W	1	0		
Constituent	npr74	YMR086W	1	0		
Constituent	npr74	YMR261C	1	0		
Constituent	npr74	YMR275C	1	0		
Constituent	npr74	YNL267W	1	0		
Constituent	npr74	YNL271C	1	0		
Constituent	npr74	YOL059W	1	0		
Constituent	npr74	YPL020C	1	0		
Constituent	npr74	YPL137C	1	0		
Constituent	npr74	YPL155C	1	0		
Constituent	npr74	YPR185W	1	0		
Constituent	npr74	YPR190C	1	0		
Constituent	pde2ra59	YDR310C	1	0		
Constituent	pde2ra59	YIL047C	1	0		
Constituent	pde2ra59	YKL112W	1	0		
Constituent	pde2ra59	YOR204W	1	0		
Constituent	pde2ra59	YPR095C	1	0		
Constituent	pde2rd56	YEL046C	1	0		
Constituent	pde2rd56	YIL129C	1	0		
Constituent	cdc14ra22	YDL022W	1	0		
Constituent	cdc14ra22	YML072C	1	0		
Constituent	cdc14ra22	YOR153W	1	0		
Constituent	cdc14rd23	YCR002C	1	0		
Constituent	cdc14rd23	YEL032W	1	0		
Constituent	cdc14rd23	YER008C	1	0		
Constituent	cdc14rd23	YER155C	1	0		
Constituent	cdc14rd23	YFR048W	1	0		
Constituent	cdc14rd23	YKL101W	1	0	Kinase	
Constituent	cdc14rd23	YML029W	1	0		
Constituent	cdc14rd23	YOR093C	1	0		
Constituent	cdc14rd23	YOR153W	1	0		
Constituent	cdc14rd23	YPR042C	1	0		
Constituent	cdc14rd23	YPR156C	1	0		
Constituent	npr75	YBL007C	1	0		
Constituent	npr75	YBL051C	1	0		
Constituent	npr75	YBL054W	1	0		
Constituent	npr75	YDL022W	1	0		
Constituent	npr75	YDR182W	1	0		
Constituent	npr75	YDR293C	1	0		
Constituent	npr75	YDR348C	1	0		
Constituent	npr75	YDR389W	1	0		
Constituent	npr75	YDR436W	1	0	Phosphatase	
Constituent	npr75	YDR496C	1	0		
Constituent	npr75	YEL032W	1	0		
Constituent	npr75	YFL016C	1	0		
Constituent	npr75	YGL021W	1	0	Kinase	
Constituent	npr75	YGR054W	1	0		
Constituent	npr75	YGR138C	1	0	Yes	
Constituent	npr75	YHL008C	1	0		
Constituent	npr75	YIL047C	1	0		
Constituent	npr75	YJR049C	1	0		
Constituent	npr75	YKL126W	1	0	Kinase	
Constituent	npr75	YLL028W	1	0	Yes	
Constituent	npr75	YLR287CA	1	0		
Constituent	npr75	YML072C	1	0		
Constituent	npr75	YMR295C	1	0		
Constituent	npr75	YNR008W	1	0		
Constituent	npr75	YOL081W	1	0		
Constituent	npr75	YPL019C	1	0		
Constituent	npr75	YPR156C	1	0	Yes	
Constituent	pde2ra57	YER155C	1	0		
Constituent	pde2ra57	YIL084C	1	0		
Constituent	pde2ra57	YIL095W	1	0	Kinase	
Constituent	pde2ra57	YLR138W	1	0		
Constituent	pde2ra57	YOL059W	1	0		
Constituent	pde2ra57	YPR156C	1	0		
Constituent	pde2ra57	YPL019C	1	0		
Constituent	cdc14rd24	YBL007C	1	0		
Constituent	cdc14rd24	YDL022W	1	0		
Constituent	cdc14rd24	YDR186C	1	0		
Constituent	cdc14rd24	YJL134W	1	0		
Constituent	cdc14rd24	YPR042C	1	0		
Constituent	cdc14rd24	YAL031C	1	0		
Constituent	cdc14rd24	YGR004W	1	0		
Constituent	cdc14rd24	YLR436C	1	0		
Constituent	hog1ra39	YOR175C	1	0		
Constituent	hog1ra39	YJR059W	1	0	Kinase	
Constituent	hog1ra39	YLR436C	1	0		
Constituent	hog1ra39	YOR204W	1	0		
Constituent	hog1rd40	YDL201W	1	0		
Constituent	hog1rd40	YLR206W	1	0		
Constituent	hog1rd40	YNR008W	1	0		
Constituent	hog1rd40	YOL013C	1	0		
Constituent	hog1rd40	YPL070W	1	0		
Constituent	npr76	YBL007C	1	0		
Constituent	npr76	YDL022W	1	0		
Constituent	npr76	YDR001C	1	0		
Constituent	npr76	YDR108W	1	0		
Constituent	npr76	YDR186C	1	0		
Constituent	npr76	YDR326C	1	0		
Constituent	npr76	YER040W	1	0		
Constituent	npr76	YER111C	1	0		
Constituent	npr76	YER157W	1	0		
Constituent	npr76	YFR016C	1	0		
Constituent	npr76	YFR017C	1	0		
Constituent	npr76	YGR100W	1	0		
Constituent	npr76	YGR161C	1	0		
Constituent	npr76	YHL003C	1	0		
Constituent	npr76	YHR005C	1	0		
Constituent	npr76	YHR016C	1	0		
Constituent	npr76	YHR131C	1	0		
Constituent	npr76	YIR010W	1	0		
Constituent	npr76	YJL084C	1	0		
Constituent	npr76	YJR005W	1	0		
Constituent	npr76	YJR059W	1	0	Kinase|Yes
Constituent	npr76	YKL146W	1	0		
Constituent	npr76	YKL168C	1	0	Kinase	
Constituent	npr76	YKR090W	1	0		
Constituent	npr76	YLL043W	1	0		
Constituent	npr76	YLR386W	1	0		
Constituent	npr76	YMR261C	1	0		
Constituent	npr76	YNL027W	1	0		
Constituent	npr76	YNL299W	1	0		
Constituent	npr76	YNR008W	1	0		
Constituent	npr76	YNR039C	1	0		
Constituent	npr76	YNR047W	1	0	Kinase	
Constituent	npr76	YOR204W	1	0		
Constituent	npr76	YPL020C	1	0		
Constituent	npr76	YPL085W	1	0		
Constituent	npr76	YPL137C	1	0		
Constituent	pde2ra58	YGL140C	1	0		
Constituent	pde2ra58	YGL181W	1	0		
Constituent	pde2ra58	YHL003C	1	0		
Constituent	pde2ra58	YHR103W	1	0		
Constituent	pde2ra58	YJL165C	1	0	Kinase	
Constituent	pde2ra58	YML119W	1	0		
Constituent	pde2ra58	YAL031C	1	0		
Constituent	pde2ra58	YBL007C	1	0		
Constituent	pde2ra58	YGR004W	1	0		
Constituent	pde2ra58	YJR059W	1	0	Kinase	
Constituent	pde2ra58	YLR436C	1	0		
Constituent	pde2ra58	YOR204W	1	0		
Output	pde2id42	YJL128C	1	0	Kinase|Yes
Output	hog1id29	YNR047W	1	0	Kinase|Yes
Output	npr73	YNR047W	1	0	Kinase|Yes
Shared_Interaction	cdc14rd20	YBL024W	1	0	Yes	
Shared_Interaction	npr72	YBR298CA	1	0	Yes	
Shared_Interaction	npi65	YDL027C	1	0	Yes	
Shared_Interaction	cdc14rd20	YMR285C	1	0	Yes	
Shared_Interaction	npr69	YCR100C	1	0	Yes	
Shared_Interaction	cdc14rd20	YIL078W	1	0	Yes	
Shared_Interaction	cdc14rd20	YER122C	1	0	Yes	
Shared_Interaction	hog1id29	YLR257W	1	0	Yes	
Shared_Interaction	hog1id29	YIL135C	1	0	Yes	
Shared_Interaction	cdc14rd20	YMR155W	1	0	Yes	
Shared_Interaction	npi63	YLR206W	1	0	Yes	
Shared_Interaction	hog1id29	YJR056C	1	0	Yes	
Shared_Interaction	cdc14rd20	YBR273C	1	0	Yes	
Shared_Interaction	cdc14rd20	YOL125W	1	0	Yes	
Shared_Interaction	hog1id29	YNR039C	1	0	Yes	
Shared_Interaction	hog1id29	YKR100C	1	0	Yes	
Shared_Interaction	cdc14rd20	YOR335C	1	0	Yes	
Shared_Interaction	cdc14rd20	YML035C	1	0	Yes	
Shared_Interaction	npi65	YMR053C	1	0	Yes	
Shared_Interaction	npi65	YAL020C	1	0	Yes	
Shared_Interaction	cdc14rd20	YPL257WA	1	0	Yes	
Shared_Interaction	cdc14rd20	YDR034CC	1	0	Yes	
Shared_Interaction	cdc14rd20	YPR137CA	1	0	Yes	
Shared_Interaction	cdc14rd20	YLR257W	1	0	Yes	
Shared_Interaction	cdc14rd20	YDR134C	1	0	Yes	
Shared_Interaction	cdc14rd20	YBR169C	1	0	Yes	
Shared_Interaction	npi63	YKR092C	1	0	Yes	
Shared_Interaction	hog1id29	YJR044C	1	0	Yes	
Shared_Interaction	cdc14rd20	YIL135C	1	0	Yes	
Shared_Interaction	cdc14rd20	YMR184W	1	0	Yes	
Shared_Interaction	cdc14rd20	YER098W	1	0	Yes	
Shared_Interaction	npi65	YER122C	1	0	Yes	
Shared_Interaction	cdc14rd20	YBR130C	1	0	Yes	
Shared_Interaction	npi63	YDR229W	1	0	Yes	
Shared_Interaction	npr69	YOR239W	1	0	Yes	
Shared_Interaction	hog1id29	YER122C	1	0	Yes	
Shared_Interaction	cdc14rd20	YNL136W	1	0	Yes	
Shared_Interaction	pde2ra58	YPR160W	1	0	Yes	
Shared_Interaction	npi65	YNL022C	1	0	Yes	
Shared_Interaction	npi61	YDR023W	1	0	Yes	
Shared_Interaction	pde2ra58	YBR108W	1	0	Yes	
Shared_Interaction	cdc14rd20	YMR239C	1	0	Yes	
Shared_Interaction	hog1id29	YKR090W	1	0	Yes	
Shared_Interaction	cdc14rd20	YNL064C	1	0	Yes	
Shared_Interaction	cdc14rd20	YNR006W	1	0	Yes	
Shared_Interaction	npi65	YBR273C	1	0	Yes	
Shared_Interaction	npi65	YML083C	1	0	Yes	
Shared_Interaction	npr69	YGL207W	1	0	Yes	
Shared_Interaction	cdc14rd20	YDL013W	1	0	Yes	
Shared_Interaction	cdc14rd20	YDL002C	1	0	Yes	
Shared_Interaction	hog1id29	YJL051W	1	0	Yes	
Shared_Interaction	npr69	YDR023W	1	0	Yes	
Shared_Interaction	cdc14rd20	YNL007C	1	0	Yes	
Shared_Interaction	npi61	YJR105W	1	0	Yes	
Shared_Interaction	npi61	YJR142W	1	0	Yes	
Shared_Interaction	cdc14rd20	YGR276C	1	0	Yes	
Shared_Interaction	hog1id29	YHR207C	1	0	Yes	
Shared_Interaction	pde2ra58	YML037C	1	0	Yes	
Shared_Interaction	cdc14rd20	YGL105W	1	0	Yes	
Shared_Interaction	pde2ra58	YGL105W	1	0	Yes	
Shared_Interaction	npr69	YBL047C	1	0	Yes	
Shared_Interaction	npi63	YGR159C	1	0	Yes	
Shared_Interaction	npr69	YGR159C	1	0	Yes	
Shared_Interaction	hog1id29	YNL074C	1	0	Yes	
Shared_Interaction	hog1id29	YDR169C	1	0	Yes	
Shared_Interaction	npi65	YNL272C	1	0	Yes	
Shared_Interaction	npi61	YBL011W	1	0	Yes	
Shared_Interaction	npi65	YDR330W	1	0	Yes	
Shared_Interaction	npi65	YBR086C	1	0	Yes	
Shared_Interaction	npi65	YCR073WA	1	0	Yes	
Shared_Interaction	npi65	YPR091C	1	0	Yes	
Shared_Interaction	npr69	YBR108W	1	0	Yes	
Shared_Interaction	npi61	YNR006W	1	0	Yes	
Shared_Interaction	npi65	YLR257W	1	0	Yes	
Shared_Interaction	npi65	YOL091W	1	0	Yes	
Shared_Interaction	hog1id29	YPR091C	1	0	Yes	
Shared_Interaction	cdc14rd20	YMR165C	1	0	Yes	
Shared_Interaction	pde2ra58	YMR165C	1	0	Yes	
Shared_Interaction	pde2ra58	YDR293C	1	0	Yes	
Shared_Interaction	npi61	YNL077W	1	0	Yes	
Shared_Interaction	npi61	YJR141W	1	0	Yes	
Shared_Interaction	npi61	YMR111C	1	0	Yes	
Shared_Interaction	pde2ra58	YMR153W	1	0	Yes	
Shared_Interaction	npi65	YPL217C	1	0	Yes	
Shared_Interaction	npi65	YIL135C	1	0	Yes	
Shared_Interaction	npr69	YGR276C	1	0	Yes	
Shared_Interaction	npr69	YOL139C	1	0	Yes	
Shared_Interaction	npi63	YGL105W	1	0	Yes	
Shared_Interaction	npr69	YML037C	1	0	Yes	
Shared_Interaction	npi65	YHL024W	1	0	Yes	
Shared_Interaction	npi65	YBR130C	1	0	Yes	
Shared_Interaction	cdc14rd20	YBR118W	1	0	Yes	
Shared_Interaction	cdc14rd20	YMR229C	1	0	Yes	
Shared_Interaction	cdc14rd20	YNL186W	1	0	Yes	
Shared_Interaction	npi65	YGL207W	1	0	Yes	
Shared_Interaction	hog1id29	YNL284CA	1	0	Yes	
Shared_Interaction	hog1id29	YMR184W	1	0	Yes	
Shared_Interaction	npi61	YDR152W	1	0	Yes	
Shared_Interaction	npi61	YMR155W	1	0	Yes	
Shared_Interaction	npi61	YGR276C	1	0	Yes	
Shared_Interaction	npi65	YGR159C	1	0	Yes	
Shared_Interaction	npi63	YJL084C	1	0	Yes	
Shared_Interaction	npr69	YGL245W	1	0	Yes	
Shared_Interaction	npi61	YML037C	1	0	Yes	
Shared_Interaction	npi65	YDL149W	1	0	Yes	
Shared_Interaction	cdc14rd20	YNL272C	1	0	Yes	
Shared_Interaction	npi61	YNL125C	1	0	Yes	
Shared_Interaction	npi65	YBL024W	1	0	Yes	
Shared_Interaction	npi65	YBR108W	1	0	Yes	
Shared_Interaction	hog1id29	YPR160W	1	0	Yes	
Shared_Interaction	npr73	YDR259C	1	0	Yes	
Shared_Interaction	npr69	YER122C	1	0	Yes	
Shared_Interaction	hog1id29	YBR108W	1	0	Yes	
Shared_Interaction	npr69	YMR165C	1	0	Yes	
Shared_Interaction	npi61	YML083C	1	0	Yes	
Shared_Interaction	npi65	YDL070W	1	0	Yes	
Shared_Interaction	npr73	YOL125W	1	0	Yes	
Shared_Interaction	hog1id29	YOL082W	1	0	Yes	
Shared_Interaction	npi65	YGR276C	1	0	Yes	
Shared_Interaction	cdc14rd20	YGL207W	1	0	Yes	
Shared_Interaction	npi65	YML037C	1	0	Yes	
Shared_Interaction	npi65	YGL105W	1	0	Yes	
Shared_Interaction	npi65	YAL028W	1	0	Yes	
Shared_Interaction	npi61	YOR239W	1	0	Yes	
Shared_Interaction	npi61	YDL223C	1	0	Yes	
Shared_Interaction	npi65	YGL245W	1	0	Yes	
Shared_Interaction	npi61	YML096W	1	0	Yes	
Shared_Interaction	npi61	YGR086C	1	0	Yes	
Shared_Interaction	npi61	YBR086C	1	0	Yes	
Shared_Interaction	npi61	YPR137CA	1	0	Yes	
Shared_Interaction	npi65	YDL153C	1	0	Yes	
Shared_Interaction	npi65	YMR165C	1	0	Yes	
Shared_Interaction	npi65	YBR154C	1	0	Yes	
Shared_Interaction	npi61	YGL051W	1	0	Yes	
Shared_Interaction	npr73	YLR257W	1	0	Yes	
Shared_Interaction	npr73	YDR134C	1	0	Yes	
Shared_Interaction	YGR241C	pde2id43	1	0	Yes	
Shared_Interaction	YDR162C	pde2ra52	1	0	Yes	
Shared_Interaction	YNL027W	npr69	1	0	Yes	
Shared_Interaction	YGR241C	npi60	1	0	Yes	
Shared_Interaction	YDR151C	hog1id29	1	0	Yes	
Shared_Interaction	YLR437C	hog1id29	1	0	Yes	
Shared_Interaction	YOR229W	hog1id29	1	0	Yes	
Shared_Interaction	YBL064C	cdc14rd20	1	0	Yes	
Shared_Interaction	YMR020W	npr75	1	0	Yes	
Shared_Interaction	YOR230W	hog1id29	1	0	Yes	
Shared_Interaction	YOR273C	npr75	1	0	Yes	
Shared_Interaction	YER125W	hog1id31	1	0	Yes	
Shared_Interaction	YLL008W	npi61	1	0	Yes	
Shared_Interaction	YLR146C	npr75	1	0	Yes	
Shared_Interaction	YNL025C	npr68	1	0	Yes	
Shared_Interaction	YNL027W	npi65	1	0	Yes	
Shared_Interaction	YMR196W	npi63	1	0	Yes	
Shared_Interaction	YGR086C	npi64	1	0	Yes	
Shared_Interaction	YMR260C	cdc14ra12	1	0	Yes	
Shared_Interaction	YML126C	npi62	1	0	Yes	
Shared_Interaction	YNL272C	npr69	1	0	Yes	
Shared_Interaction	YBR200W	hog1rd38	1	0	Yes	
Shared_Interaction	YER033C	hog1rd33	1	0	Yes	
Shared_Interaction	YJL020C	cdc14id7	1	0	Yes	
Shared_Interaction	YNL251C	hog1ia30	1	0	Yes	
Shared_Interaction	YBL067C	npi65	1	0	Yes	
Shared_Interaction	YNL272C	npi61	1	0	Yes	
Shared_Interaction	YDR188W	npi61	1	0	Yes	
Shared_Interaction	YNL323W	npi60	1	0	Yes	
Shared_Interaction	YLR270W	npi63	1	0	Yes	
Shared_Interaction	YMR162C	npi60	1	0	Yes	
Shared_Interaction	YPL004C	npi64	1	0	Yes	
Shared_Interaction	YDR162C	npr67	1	0	Yes	
Shared_Interaction	YLR229C	cdc14rd23	1	0	Yes	
Shared_Interaction	YAR015W	cdc14rd20	1	0	Yes	
Shared_Interaction	YKL129C	npi61	1	0	Yes	
Shared_Interaction	YHR158C	hog1id29	1	0	Yes	
Shared_Interaction	YPR140W	npi60	1	0	Yes	
Shared_Interaction	YLR006C	pde2id42	1	0	Yes	
Shared_Interaction	YDR162C	hog1rd38	1	0	Yes	
Shared_Interaction	YLR345W	pde2ra52	1	0	Yes	
Shared_Interaction	YPL256C	cdc14rd13	1	0	Yes	
Shared_Interaction	YPL106C	npi65	1	0	Yes	
Shared_Interaction	YER098W	npi65	1	0	Yes	
Shared_Interaction	YNL243W	npi65	1	0	Yes	
Shared_Interaction	YFR021W	cdc14id3	1	0	Yes	
Shared_Interaction	YDR162C	pde2id42	1	0	Yes	
Shared_Interaction	YLR258W	npr69	1	0	Yes	
Shared_Interaction	YKL067W	hog1id29	1	0	Yes	
Shared_Interaction	YJR073C	npi60	1	0	Yes	
Shared_Interaction	YOR163W	npr72	1	0	Yes	
Shared_Interaction	YBL007C	npi65	1	0	Yes	
Shared_Interaction	YLL013C	cdc14id9	1	0	Yes	
Shared_Interaction	YLL021W	npr68	1	0	Yes	
Shared_Interaction	YGR162W	npi63	1	0	Yes	
Shared_Interaction	YKL008C	pde2ra58	1	0	Yes	
Shared_Interaction	YDR381W	npi63	1	0	Yes	
Shared_Interaction	YHL009C	cdc14rd23	1	0	Yes	
Shared_Interaction	YER112W	npi63	1	0	Yes	
Shared_Interaction	YCR027C	npi61	1	0	Yes	
Shared_Interaction	YPR032W	npi65	1	0	Yes	
Shared_Interaction	YDR471W	npi64	1	0	Yes	
Shared_Interaction	YAL041W	hog1rd35	1	0	Yes	
Shared_Interaction	YJR097W	npi61	1	0	Yes	
Shared_Interaction	YMR298W	npr73	1	0	Yes	
Shared_Interaction	YJR047C	npr69	1	0	Yes	
Shared_Interaction	YGR017W	npr69	1	0	Yes	
Shared_Interaction	YFR024CA	npi65	1	0	Yes	
Shared_Interaction	YGR241C	pde2ra58	1	0	Yes	
Shared_Interaction	YDL203C	cdc14rd20	1	0	Yes	
Shared_Interaction	YGR162W	hog1ra39	1	0	Yes	
Shared_Interaction	YMR109W	npi61	1	0	Yes	
Shared_Interaction	YDL161W	pde2id43	1	0	Yes	
Shared_Interaction	YPR119W	cdc14rd15	1	0	Yes	
Shared_Interaction	YGR287C	cdc14rd20	1	0	Yes	
Shared_Interaction	YLR229C	pde2ra51	1	0	Yes	
Shared_Interaction	YAL024C	npi61	1	0	Yes	
Shared_Interaction	YIR006C	npi61	1	0	Yes	
Shared_Interaction	YOL041C	npi61	1	0	Yes	
Shared_Interaction	YBR108W	pde2ra50	1	0	Yes	
Shared_Interaction	YAL041W	hog1rd38	1	0	Yes	
Shared_Interaction	YCR004C	npi64	1	0	Yes	
Shared_Interaction	YER118C	pde2id42	1	0	Yes	
Shared_Interaction	YHR161C	npi63	1	0	Yes	
Shared_Interaction	YFL023W	cdc14rd20	1	0	Yes	
Shared_Interaction	YKL035W	npr73	1	0	Yes	
Shared_Interaction	YAR015W	npi65	1	0	Yes	
Shared_Interaction	YGR138C	npr75	1	0	Yes	
Shared_Interaction	YBR154C	pde2ra51	1	0	Yes	
Shared_Interaction	YDL146W	npr76	1	0	Yes	
Shared_Interaction	YLR116W	npi63	1	0	Yes	
Shared_Interaction	YDR432W	hog1ia30	1	0	Yes	
Shared_Interaction	YER070W	hog1id29	1	0	Yes	
Shared_Interaction	YLR136C	hog1id29	1	0	Yes	
Shared_Interaction	YJR083C	npr67	1	0	Yes	
Shared_Interaction	YHR031C	hog1id29	1	0	Yes	
Shared_Interaction	YNR024W	cdc14id9	1	0	Yes	
Shared_Interaction	YAR014C	cdc14rd20	1	0	Yes	
Shared_Interaction	YGL019W	pde2ra51	1	0	Yes	
Shared_Interaction	YKL074C	npi63	1	0	Yes	
Shared_Interaction	YLL008W	npr69	1	0	Yes	
Shared_Interaction	YOL139C	cdc14id9	1	0	Yes	
Shared_Interaction	YOR035C	npr68	1	0	Yes	
Shared_Interaction	YLL003W	npr68	1	0	Yes	
Shared_Interaction	YLR229C	hog1rd35	1	0	Yes	
Shared_Interaction	YNL182C	npr66	1	0	Yes	
Shared_Interaction	YPL020C	npr71	1	0	Yes	
Shared_Interaction	YGR241C	npi63	1	0	Yes	
Shared_Interaction	YDL161W	npi60	1	0	Yes	
Shared_Interaction	YEL012W	npr69	1	0	Yes	
Shared_Interaction	YOR122C	npr74	1	0	Yes	
Shared_Interaction	YER177W	npr73	1	0	Yes	
Shared_Interaction	YBR267W	pde2ra52	1	0	Yes	
Shared_Interaction	YEL022W	hog1id25	1	0	Yes	
Shared_Interaction	YJL070C	npr72	1	0	Yes	
Shared_Interaction	YLR058C	npi64	1	0	Yes	
Shared_Interaction	YDR135C	pde2ra58	1	0	Yes	
Shared_Interaction	YPR171W	pde2ra58	1	0	Yes	
Shared_Interaction	YPL281C	npi61	1	0	Yes	
Shared_Interaction	YEL055C	npi61	1	0	Yes	
Shared_Interaction	YGR162W	cdc14id9	1	0	Yes	
Shared_Interaction	YAL020C	npr67	1	0	Yes	
Shared_Interaction	YOL112W	npr67	1	0	Yes	
Shared_Interaction	YBL002W	pde2ra51	1	0	Yes	
Shared_Interaction	YER112W	cdc14id9	1	0	Yes	
Shared_Interaction	YLR377C	pde2ra54	1	0	Yes	
Shared_Interaction	YLR371W	npr68	1	0	Yes	
Shared_Interaction	YPR129W	npr69	1	0	Yes	
Shared_Interaction	YJL204C	npi60	1	0	Yes	
Shared_Interaction	YMR196W	cdc14rd20	1	0	Yes	
Shared_Interaction	YER036C	hog1ra39	1	0	Yes	
Shared_Interaction	YLR196W	npi61	1	0	Yes	
