edge	sources	pmids
YDL208W (u) YDL014W	dezc2002|krogannj2006|gavinac2002	12242285|11805826|16554755
YDL014W (u) YDR195W	morlandom2004	15167896
YDR195W (u) YDL014W	morlandom2004	15167896
YDL014W (u) YDR365C	krogannj2006|pengwt2004	16554755|15056729
YDR365C (u) YDL014W	krogannj2006|pengwt2004	16554755|15056729
YDL014W (u) YDR439W	rabitschkp2003	12689592
YDR439W (u) YDL014W	rabitschkp2003	12689592
YDL014W (u) YEL026W	gonzalesfa2005|boulons2008	18268104|15670595
YEL026W (u) YDL014W	gonzalesfa2005|boulons2008	18268104|15670595
YDL014W (u) YGL120C	gavinac2006|collinssr2007|krogannj2006|lebarons2005|gavinac2002	16227579|16554755|17200106|11805826|16429126
YGL120C (u) YDL014W	gavinac2006|collinssr2007|krogannj2006|lebarons2005|gavinac2002	16227579|16554755|17200106|11805826|16429126
YDL014W (u) YGR103W	hoy2002|krogannj2006|dosilm2004	15231838|16554755|11805837
YGR103W (u) YDL014W	hoy2002|krogannj2006|dosilm2004	15231838|16554755|11805837
YDL014W (u) YHL034C	hsiehch2007	17456744
YHL034C (u) YDL014W	hsiehch2007	17456744
YDL014W (u) YHR072WA	dezc2002	12242285
YHR072WA (u) YDL014W	dezc2002	12242285
YDL014W (u) YHR089C	krogannj2006|dezc2002	12242285|16554755
YHR089C (u) YDL014W	krogannj2006|dezc2002	12242285|16554755
YDL014W (u) YHR148W	collinssr2007|dosilm2004	15231838|17200106
YHR148W (u) YDL014W	collinssr2007|dosilm2004	15231838|17200106
YDL014W (u) YIL019W	rempolab2006	16762320
YIL019W (u) YDL014W	rempolab2006	16762320
YDL014W (u) YJL010C	thomsone2007	17956976
YJL010C (u) YDL014W	thomsone2007	17956976
YDL014W (u) YJL076W	straightaf1999	10219245
YJL076W (u) YDL014W	straightaf1999	10219245
YDL014W (u) YJR002W	gallagherje2004|dragonf2002|collinssr2007	12068309|15489292|17200106
YJR002W (u) YDL014W	gallagherje2004|dragonf2002|collinssr2007	12068309|15489292|17200106
YDL014W (u) YKL014C	dezc2004	15226434
YKL014C (u) YDL014W	dezc2004	15226434
YDL014W (u) YKL021C	saveanuc2007	17308036
YKL021C (u) YDL014W	saveanuc2007	17308036
YDL014W (u) YKL125W	philippia2010	20421203
YKL125W (u) YDL014W	philippia2010	20421203
YDL014W (u) YLL011W	collinssr2007|jansenr1993	8508778|17200106
YLL011W (u) YDL014W	collinssr2007|jansenr1993	8508778|17200106
YDL014W (u) YLL036C	stevenssw2002	11804584
YLL036C (u) YDL014W	stevenssw2002	11804584
YDL014W (u) YLR009W	saveanuc2003	12808088
YLR009W (u) YDL014W	saveanuc2003	12808088
YDL014W (u) YLR175W	krogannj2006|gavinac2002|gavinac2006|schwerb2011|dezc2002|collinssr2007	16554755|16429126|21558325|11805826|12242285|17200106
YLR175W (u) YDL014W	krogannj2006|gavinac2002|gavinac2006|schwerb2011|dezc2002|collinssr2007	16554755|16429126|21558325|11805826|12242285|17200106
YDL014W (u) YLR197W	gonzalesfa2005|krogannj2006|zhaor2008|gautiert1997|galardis2002|collinssr2007|boulons2008	16554755|15670595|9372940|18268104|18268103|12215523|17200106
YLR197W (u) YDL014W	gonzalesfa2005|krogannj2006|zhaor2008|gautiert1997|galardis2002|collinssr2007|boulons2008	16554755|15670595|9372940|18268104|18268103|12215523|17200106
YDL014W (u) YLR403W	lempiaeinenh2009	19328065
YLR403W (u) YDL014W	lempiaeinenh2009	19328065
YDL014W (u) YMR239C	giorgic2001	11726521
YMR239C (u) YDL014W	giorgic2001	11726521
YDL014W (u) YMR308C	lesliedm2004	15367670
YMR308C (u) YDL014W	lesliedm2004	15367670
YDL014W (u) YNL075W	dosilm2004|perezfernandezj2011	15231838|21724601
YNL075W (u) YDL014W	dosilm2004|perezfernandezj2011	15231838|21724601
YDL014W (u) YNL124W	yangpk2005	15798213
YNL124W (u) YDL014W	yangpk2005	15798213
YDL014W (u) YNL222W	morlandom2004	15167896
YNL222W (u) YDL014W	morlandom2004	15167896
YDL014W (u) YNL255C	sammonsma2011|scherrert2011|krogannj2006	21232131|16554755|21277287
YNL255C (u) YDL014W	sammonsma2011|scherrert2011|krogannj2006	21232131|16554755|21277287
YDL014W (u) YNR054C	hoangt2005|krogannj2006	16554755|15964808
YNR054C (u) YDL014W	hoangt2005|krogannj2006	16554755|15964808
YDL014W (u) YOL010W	billye2000	10790377
YOL010W (u) YDL014W	billye2000	10790377
YDL014W (u) YOR267C	breitkreutza2010	20489023
YOR267C (u) YDL014W	breitkreutza2010	20489023
YDL014W (u) YOR310C	grandip2002|fernandezpevidaa2012|krogannj2006|granatodc2008|dragonf2002|gautiert1997|gavinac2006|krogannj2004|schwerb2011|collinssr2007|boulons2008	18631361|21558325|22995916|16554755|12150911|16429126|9372940|18268104|17200106|12068309|14759368
YOR310C (u) YDL014W	grandip2002|fernandezpevidaa2012|krogannj2006|granatodc2008|dragonf2002|gautiert1997|gavinac2006|krogannj2004|schwerb2011|collinssr2007|boulons2008	18631361|21558325|22995916|16554755|12150911|16429126|9372940|18268104|17200106|12068309|14759368
YDL014W (u) YOR340C	faths2000	10791972
YOR340C (u) YDL014W	faths2000	10791972
YDL014W (u) YOR341W	faths2000	10791972
YOR341W (u) YDL014W	faths2000	10791972
YDL014W (u) YPL093W	saveanuc2003	12808088
YPL093W (u) YDL014W	saveanuc2003	12808088
YDL014W (u) YPL126W	gallagherje2004|collinssr2007	17200106|15489292
YPL126W (u) YDL014W	gallagherje2004|collinssr2007	17200106|15489292
YDL014W (u) YPR137W	collinssr2007|dosilm2004|boulons2008	15231838|18268104|17200106
YPR137W (u) YDL014W	collinssr2007|dosilm2004|boulons2008	15231838|18268104|17200106
YDL014W (u) YPR143W	demarchisml2005	15769876
YPR143W (u) YDL014W	demarchisml2005	15769876
YDL015C (u) YHR195W	kvame2005|kvame2006	16912077|15958487
YHR195W (u) YDL015C	kvame2005|kvame2006	16912077|15958487
YDL015C (u) YLR372W	kohlweinsd2001|millerjp2005	16093310|11113186
YLR372W (u) YDL015C	kohlweinsd2001|millerjp2005	16093310|11113186
YDL017W (u) YDL132W	uetzp2000|seoljh2001	11283612|10688190
YDL132W (u) YDL017W	uetzp2000|seoljh2001	11283612|10688190
YDL017W (u) YDR168W	mortbontempssoretm2002	12111552
YDR168W (u) YDL017W	mortbontempssoretm2002	12111552
YDL017W (u) YDR439W	matosj2008	19013276
YDR439W (u) YDL017W	matosj2008	19013276
YDL017W (u) YJR082C	fasoloj2011	21460040
YJR082C (u) YDL017W	fasoloj2011	21460040
YDL017W (u) YLL004W	gabrielsec2006	16547092
YLL004W (u) YDL017W	gabrielsec2006	16547092
YDL017W (u) YLR113W	yaakovg2009	19477922
YLR113W (u) YDL017W	yaakovg2009	19477922
YDL017W (u) YMR001C	matosj2008|chenyc2010	21036905|19013276
YMR001C (u) YDL017W	matosj2008|chenyc2010	21036905|19013276
YDL017W (u) YMR146C	fasoloj2011	21460040
YMR146C (u) YDL017W	fasoloj2011	21460040
YDL017W (u) YPR007C	katisvl2010	20230747
YPR007C (u) YDL017W	katisvl2010	20230747
YDL018C (u) YHR110W	wangy2012|zhangh2009|gavinac2006|collinssr2007	22875988|16429126|19591838|17200106
YHR110W (u) YDL018C	wangy2012|zhangh2009|gavinac2006|collinssr2007	22875988|16429126|19591838|17200106
YDL019C (u) YMR109W	gavinac2006|tonikianr2009|tarassovk2008	19841731|16429126|18467557
YMR109W (u) YDL019C	gavinac2006|tonikianr2009|tarassovk2008	19841731|16429126|18467557
YDL020C (u) YDL097C	hasw2012	22349505
YDL097C (u) YDL020C	hasw2012	22349505
YDL020C (u) YDL147W	hasw2012	22349505
YDL147W (u) YDL020C	hasw2012	22349505
YDL020C (u) YDR363WA	letallecb2009	19217412
YDR363WA (u) YDL020C	letallecb2009	19217412
YDL020C (u) YDR394W	letallecb2009	19217412
YDR394W (u) YDL020C	letallecb2009	19217412
YDL020C (u) YFR052W	fujimurom1998|letallecb2009	9512348|19217412
YFR052W (u) YDL020C	fujimurom1998|letallecb2009	9512348|19217412
YDL020C (u) YGL048C	letallecb2009	19217412
YGL048C (u) YDL020C	letallecb2009	19217412
YDL020C (u) YHR200W	fujimurom1998|letallecb2009	9512348|19217412
YHR200W (u) YDL020C	fujimurom1998|letallecb2009	9512348|19217412
YDL020C (u) YIL075C	hasw2012	22349505
YIL075C (u) YDL020C	hasw2012	22349505
YDL020C (u) YKL145W	hasw2012|letallecb2009	19217412|22349505
YKL145W (u) YDL020C	hasw2012|letallecb2009	19217412|22349505
YDL020C (u) YOR117W	letallecb2009	19217412
YOR117W (u) YDL020C	letallecb2009	19217412
YDL020C (u) YPR103W	rubindm1996	8628401
YPR103W (u) YDL020C	rubindm1996	8628401
YDL022W (u) YDR510W	felberbaumr2011|pansevg2004	15292183|22025676
YDR510W (u) YDL022W	felberbaumr2011|pansevg2004	15292183|22025676
YDL025C (u) YDL183C	fasoloj2011	21460040
YDL183C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YDR132C	fasoloj2011	21460040
YDR132C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YER155C	breitkreutza2010	20489023
YER155C (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YFR028C	breitkreutza2010	20489023
YFR028C (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YGL077C	fasoloj2011	21460040
YGL077C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YGL105W	breitkreutza2010	20489023
YGL105W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YGL245W	breitkreutza2010	20489023
YGL245W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YGR090W	breitkreutza2010	20489023
YGR090W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YGR103W	breitkreutza2010	20489023
YGR103W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YGR240C	fasoloj2011	21460040
YGR240C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YJL033W	fasoloj2011	21460040
YJL033W (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YJL076W	breitkreutza2010	20489023
YJL076W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YJL105W	fasoloj2011	21460040
YJL105W (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YJR129C	fasoloj2011	21460040
YJR129C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YLR002C	breitkreutza2010	20489023
YLR002C (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YML048W	fasoloj2011	21460040
YML048W (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YMR049C	breitkreutza2010	20489023
YMR049C (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YMR196W	fasoloj2011	21460040
YMR196W (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YMR205C	fasoloj2011	21460040
YMR205C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YMR216C	fasoloj2011	21460040
YMR216C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YMR290C	breitkreutza2010	20489023
YMR290C (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YNL175C	breitkreutza2010	20489023
YNL175C (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YOL041C	breitkreutza2010	20489023
YOL041C (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YOR061W	breitkreutza2010	20489023
YOR061W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YOR094W	fasoloj2011	21460040
YOR094W (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YOR177C	fasoloj2011	21460040
YOR177C (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YOR272W	breitkreutza2010	20489023
YOR272W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YOR294W	breitkreutza2010	20489023
YOR294W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YPL093W	breitkreutza2010	20489023
YPL093W (u) YDL025C	breitkreutza2010	20489023
YDL025C (u) YPL220W	fasoloj2011	21460040
YPL220W (u) YDL025C	fasoloj2011	21460040
YDL025C (u) YPR019W	fasoloj2011	21460040
YPR019W (u) YDL025C	fasoloj2011	21460040
YDL028C (u) YDL203C	fasoloj2011	21460040
YDL203C (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YDR162C	breitkreutza2010|tonikianr2009	19841731|20489023
YDR162C (u) YDL028C	breitkreutza2010|tonikianr2009	19841731|20489023
YDL028C (u) YDR168W	mortbontempssoretm2002	12111552
YDR168W (u) YDL028C	mortbontempssoretm2002	12111552
YDL028C (u) YDR211W	breitkreutza2010	20489023
YDR211W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YDR383C	breitkreutza2010	20489023
YDR383C (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YER018C	breitkreutza2010	20489023
YER018C (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YFR038W	fasoloj2011	21460040
YFR038W (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YGL003C	ostapenkod2012	23049888
YGL003C (u) YDL028C	ostapenkod2012	23049888
YDL028C (u) YGL106W	breitkreutza2010	20489023
YGL106W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YGR179C	breitkreutza2010	20489023
YGR179C (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YIL072W	fasoloj2011	21460040
YIL072W (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YIL151C	breitkreutza2010	20489023
YIL151C (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YIR010W	akiyoshib2010|breitkreutza2010	20489023|21107429
YIR010W (u) YDL028C	akiyoshib2010|breitkreutza2010	20489023|21107429
YDL028C (u) YJR019C	fasoloj2011	21460040
YJR019C (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YJR053W	breitkreutza2010	20489023
YJR053W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YJR112W	breitkreutza2010	20489023
YJR112W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YKL023W	fasoloj2011	21460040
YKL023W (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YKL089W	breitkreutza2010	20489023
YKL089W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YKR096W	breitkreutza2010	20489023
YKR096W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YLL003W	breitkreutza2010	20489023
YLL003W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YLL039C	liuc2011	22045814
YLL039C (u) YDL028C	liuc2011	22045814
YDL028C (u) YLR016C	fasoloj2011	21460040
YLR016C (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YLR381W	breitkreutza2010	20489023
YLR381W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YML045WA	fasoloj2011	21460040
YML045WA (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YML087C	fasoloj2011	21460040
YML087C (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YML091C	breitkreutza2010	20489023
YML091C (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YMR001C	sneadjl2007	18022565
YMR001C (u) YDL028C	sneadjl2007	18022565
YDL028C (u) YMR114C	fasoloj2011	21460040
YMR114C (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YMR117C	kemmlers2009|breitkreutza2010	20489023|19300438
YMR117C (u) YDL028C	kemmlers2009|breitkreutza2010	20489023|19300438
YDL028C (u) YMR139W	fasoloj2011	21460040
YMR139W (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YNL007C	fasoloj2011	21460040
YNL007C (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YOL069W	kemmlers2009|arakiy2010|breitkreutza2010	20489023|19300438|20368617
YOL069W (u) YDL028C	kemmlers2009|arakiy2010|breitkreutza2010	20489023|19300438|20368617
YDL028C (u) YOR056C	fasoloj2011	21460040
YOR056C (u) YDL028C	fasoloj2011	21460040
YDL028C (u) YOR373W	breitkreutza2010	20489023
YOR373W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YPL204W	breitkreutza2010	20489023
YPL204W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YPL233W	breitkreutza2010	20489023
YPL233W (u) YDL028C	breitkreutza2010	20489023
YDL028C (u) YPR115W	fasoloj2011	21460040
YPR115W (u) YDL028C	fasoloj2011	21460040
YDL029W (u) YDL149W	monastyrskai2008	18287533
YDL149W (u) YDL029W	monastyrskai2008	18287533
YDL029W (u) YDR172W	ganusovaee2006	16382152
YDR172W (u) YDL029W	ganusovaee2006	16382152
YDL029W (u) YFL039C	liusl2011|liusl2012	21454476|23148219
YFL039C (u) YDL029W	liusl2011|liusl2012	21454476|23148219
YDL029W (u) YIL062C	d'agostinojl2005|collinssr2007|boldoghir2001|hoy2002|gavinac2006|goodebl2001|daughertykm2008|gavinac2002|humphriescl2002	12499356|18381280|16429126|17200106|11805826|11805837|16183906|11248049|11331312
YIL062C (u) YDL029W	d'agostinojl2005|collinssr2007|boldoghir2001|hoy2002|gavinac2006|goodebl2001|daughertykm2008|gavinac2002|humphriescl2002	12499356|18381280|16429126|17200106|11805826|11805837|16183906|11248049|11331312
YDL029W (u) YIL095W	jinm2008	17978096
YIL095W (u) YDL029W	jinm2008	17978096
YDL029W (u) YIR006C	duncanmc2001	11433303
YIR006C (u) YDL029W	duncanmc2001	11433303
YDL029W (u) YJR065C	winterd1997|winterdc1999|collinssr2007|krogannj2006|panf2004|gavinac2002|hoy2002|gavinac2006|goodebl2001|daughertykm2008|humphriescl2002	12499356|11331312|16554755|18381280|16429126|10377407|15485833|9210376|11805837|17200106|11805826
YJR065C (u) YDL029W	winterd1997|winterdc1999|collinssr2007|krogannj2006|panf2004|gavinac2002|hoy2002|gavinac2006|goodebl2001|daughertykm2008|humphriescl2002	12499356|11331312|16554755|18381280|16429126|10377407|15485833|9210376|11805837|17200106|11805826
YDL029W (u) YKL013C	humphriescl2002|gavinac2002|hoy2002|gavinac2006|goodebl2001|daughertykm2008|collinssr2007	12499356|18381280|16429126|11805826|11805837|17200106|11331312
YKL013C (u) YDL029W	humphriescl2002|gavinac2002|hoy2002|gavinac2006|goodebl2001|daughertykm2008|collinssr2007	12499356|18381280|16429126|11805826|11805837|17200106|11331312
YDL029W (u) YKL129C	lechlert2000	10648569
YKL129C (u) YDL029W	lechlert2000	10648569
YDL029W (u) YLL013C	hoy2002|garciarodriguezlj2007	17210948|11805837
YLL013C (u) YDL029W	hoy2002|garciarodriguezlj2007	17210948|11805837
YDL029W (u) YLR370C	d'agostinojl2005|collinssr2007|krogannj2006|gavinac2002|hoy2002|gavinac2006|tarassovk2008|goodebl2001|daughertykm2008|humphriescl2002	12499356|16554755|18381280|16429126|18467557|11805826|11805837|16183906|17200106|11331312
YLR370C (u) YDL029W	d'agostinojl2005|collinssr2007|krogannj2006|gavinac2002|hoy2002|gavinac2006|tarassovk2008|goodebl2001|daughertykm2008|humphriescl2002	12499356|16554755|18381280|16429126|18467557|11805826|11805837|16183906|17200106|11331312
YDL029W (u) YLR429W	liusl2011|humphriescl2002	21454476|12499356
YLR429W (u) YDL029W	liusl2011|humphriescl2002	21454476|12499356
YDL029W (u) YMR109W	idrissifz2002|lechlert2000|tarassovk2008	10648569|18467557|12429847
YMR109W (u) YDL029W	idrissifz2002|lechlert2000|tarassovk2008	10648569|18467557|12429847
YDL029W (u) YMR216C	sharanr2005	15687504
YMR216C (u) YDL029W	sharanr2005	15687504
YDL029W (u) YNL189W	yanc1997	9218799
YNL189W (u) YDL029W	yanc1997	9218799
YDL029W (u) YNR035C	gavinac2002|hoy2002|gavinac2006|tarassovk2008|goodebl2001|daughertykm2008|collinssr2007	11331312|18381280|16429126|18467557|11805826|11805837|17200106
YNR035C (u) YDL029W	gavinac2002|hoy2002|gavinac2006|tarassovk2008|goodebl2001|daughertykm2008|collinssr2007	11331312|18381280|16429126|18467557|11805826|11805837|17200106
YDL029W (u) YOR117W	sharanr2005|guerreroc2008	15687504|18757749
YOR117W (u) YDL029W	sharanr2005|guerreroc2008	15687504|18757749
YDL029W (u) YOR181W	lechlert2000|winterd1999|madaniaa1999|tarassovk2008|michelota2010|schlechtu2012	10512884|10648569|18467557|21035341|22615397|10322115
YOR181W (u) YDL029W	lechlert2000|winterd1999|madaniaa1999|tarassovk2008|michelota2010|schlechtu2012	10512884|10648569|18467557|21035341|22615397|10322115
YDL030W (u) YDL043C	collinssr2007|wiestliterature1996|krogannj2006|wellsse1994|dziembowskia2004	8969185|15565172|16554755|8065365|17200106
YDL043C (u) YDL030W	collinssr2007|wiestliterature1996|krogannj2006|wellsse1994|dziembowskia2004	8969185|15565172|16554755|8065365|17200106
YDL030W (u) YJL203W	fromontracinem1997|dziembowskia2004|rainjc1996|marsoliermc1997|wiestliterature1996|krogannj2006|wellsse1994|awasthis2001|gavinac2006|legrainp1993|collinssr2007	9159467|9207794|16554755|16429126|8718683|17200106|8969185|15565172|8065365|8211114|11425851
YJL203W (u) YDL030W	fromontracinem1997|dziembowskia2004|rainjc1996|marsoliermc1997|wiestliterature1996|krogannj2006|wellsse1994|awasthis2001|gavinac2006|legrainp1993|collinssr2007	9159467|9207794|16554755|16429126|8718683|17200106|8969185|15565172|8065365|8211114|11425851
YDL030W (u) YLL036C	gavinac2006|collinssr2007|ohimd2002|stevenssw2002	11884590|17200106|16429126|11804584
YLL036C (u) YDL030W	gavinac2006|collinssr2007|ohimd2002|stevenssw2002	11884590|17200106|16429126|11804584
YDL030W (u) YML049C	fromontracinem1997|collinssr2007	9207794|17200106
YML049C (u) YDL030W	fromontracinem1997|collinssr2007	9207794|17200106
YDL030W (u) YNL210W	spingolam2004	14973223
YNL210W (u) YDL030W	spingolam2004	14973223
YDL030W (u) YOR308C	mishrask2011|collinssr2007	21614000|17200106
YOR308C (u) YDL030W	mishrask2011|collinssr2007	21614000|17200106
YDL030W (u) YPL213W	tardiffdf2006|gavinac2006|collinssr2007|schwerb2011	16618970|21558325|16429126|17200106
YPL213W (u) YDL030W	tardiffdf2006|gavinac2006|collinssr2007|schwerb2011	16618970|21558325|16429126|17200106
YDL031W (u) YDR087C	collinssr2007|horseyew2004	15100437|17200106
YDR087C (u) YDL031W	collinssr2007|horseyew2004	15100437|17200106
YDL031W (u) YER006W	gavinac2006|collinssr2007|nissanta2002|basslerj2001|basslerj2006	17200106|11583615|16429126|16803892|12374754
YER006W (u) YDL031W	gavinac2006|collinssr2007|nissanta2002|basslerj2001|basslerj2006	17200106|11583615|16429126|16803892|12374754
YDL031W (u) YFL002C	garciagomezjj2011|collinssr2007|bernsteinka2006	16449635|21825077|17200106
YFL002C (u) YDL031W	garciagomezjj2011|collinssr2007|bernsteinka2006	16449635|21825077|17200106
YDL031W (u) YGL111W	collinssr2007|kresslerd2008	17200106|18559667
YGL111W (u) YDL031W	collinssr2007|kresslerd2008	17200106|18559667
YDL031W (u) YGL120C	lebarons2005	16227579
YGL120C (u) YDL031W	lebarons2005	16227579
YDL031W (u) YGR103W	hoy2002|talkishj2012|gavinac2006|collinssr2007|nissanta2002	22735702|12374754|17200106|16429126|11805837
YGR103W (u) YDL031W	hoy2002|talkishj2012|gavinac2006|collinssr2007|nissanta2002	22735702|12374754|17200106|16429126|11805837
YDL031W (u) YJL050W	bernsteinka2006	16449635
YJL050W (u) YDL031W	bernsteinka2006	16449635
YDL031W (u) YKL009W	collinssr2007|rodriguezmateosm2009	19789271|17200106
YKL009W (u) YDL031W	collinssr2007|rodriguezmateosm2009	19789271|17200106
YDL031W (u) YMR290C	collinssr2007|bernsteinka2006	16449635|17200106
YMR290C (u) YDL031W	collinssr2007|bernsteinka2006	16449635|17200106
YDL031W (u) YNL207W	breitkreutza2010	20489023
YNL207W (u) YDL031W	breitkreutza2010	20489023
YDL031W (u) YPR016C	graindorgejs2005|gavinac2006|collinssr2007|gavinac2002	16095611|17200106|11805826|16429126
YPR016C (u) YDL031W	graindorgejs2005|gavinac2006|collinssr2007|gavinac2002	16095611|17200106|11805826|16429126
YDL035C (u) YER020W	ansarik1999|xuey1998|yuncw1997|harashimat2002	9388468|9524122|10514491|12150916
YER020W (u) YDL035C	ansarik1999|xuey1998|yuncw1997|harashimat2002	9388468|9524122|10514491|12150916
YDL035C (u) YPL268W	ansarik1999	10514491
YPL268W (u) YDL035C	ansarik1999	10514491
YDL039C (u) YNL197C	colominan2008	18667435
YNL197C (u) YDL039C	colominan2008	18667435
YDL040C (u) YDL097C	kimuray2003	12504901
YDL097C (u) YDL040C	kimuray2003	12504901
YDL040C (u) YDL147W	kimuray2003	12504901
YDL147W (u) YDL040C	kimuray2003	12504901
YDL040C (u) YER021W	kimuray2003	12504901
YER021W (u) YDL040C	kimuray2003	12504901
YDL040C (u) YGL048C	kimuray2003	12504901
YGL048C (u) YDL040C	kimuray2003	12504901
YDL040C (u) YHR013C	gautschim2003|krogannj2006|gavinac2002|parkec1992|polevodab2008|collinssr2007	16554755|11805826|14517307|17541948|1600941|17200106
YHR013C (u) YDL040C	gautschim2003|krogannj2006|gavinac2002|parkec1992|polevodab2008|collinssr2007	16554755|11805826|14517307|17541948|1600941|17200106
YDL040C (u) YIL075C	kimuray2003	12504901
YIL075C (u) YDL040C	kimuray2003	12504901
YDL040C (u) YOR117W	kimuray2003	12504901
YOR117W (u) YDL040C	kimuray2003	12504901
YDL040C (u) YOR253W	krogannj2006|gautschim2003	14517307|16554755
YOR253W (u) YDL040C	krogannj2006|gautschim2003	14517307|16554755
YDL040C (u) YOR259C	kimuray2003	12504901
YOR259C (u) YDL040C	kimuray2003	12504901
YDL040C (u) YOR261C	kimuray2003	12504901
YOR261C (u) YDL040C	kimuray2003	12504901
YDL042C (u) YDR026C	hacw2012	22362748
YDR026C (u) YDL042C	hacw2012	22362748
YDL042C (u) YDR110W	hacw2012|bairwank2010|huangj2003	12923057|22362748|20179323
YDR110W (u) YDL042C	hacw2012|bairwank2010|huangj2003	12923057|22362748|20179323
YDL042C (u) YDR216W	breitkreutza2010	20489023
YDR216W (u) YDL042C	breitkreutza2010	20489023
YDL042C (u) YDR224C	huangj2006|martinof2009	19217406|17043313
YDR224C (u) YDL042C	huangj2006|martinof2009	19217406|17043313
YDL042C (u) YDR225W	martinof2009	19217406
YDR225W (u) YDL042C	martinof2009	19217406
YDL042C (u) YDR227W	cuperusg2000|hoppegj2002|froydca2011|hoy2002|hsuhc2013|ghidellis2001|tannyjc2004|kuengs2012|horigomec2011|straightaf1999|moazedd1997|gavinac2002|hickmanma2007|ehrentrauts2011|huangj2006|cockellmm2000|johnsona2009|martinof2009|clementm2006|cubizollesf2006|krogannj2006|chanjn2011|moazedd1996|strahlbolsingers1997|hickmanm2007|collinssr2007	16956377|11805837|19782027|23307867|11805826|21896656|15282295|17200106|12024030|9122169|16554755|16543151|17316680|17043313|17676954|10757754|11500379|8752220|21690292|21822217|10219245|19217406|21664583|10835361|22654676|9000052
YDR227W (u) YDL042C	cuperusg2000|hoppegj2002|froydca2011|hoy2002|hsuhc2013|ghidellis2001|tannyjc2004|kuengs2012|horigomec2011|straightaf1999|moazedd1997|gavinac2002|hickmanma2007|ehrentrauts2011|huangj2006|cockellmm2000|johnsona2009|martinof2009|clementm2006|cubizollesf2006|krogannj2006|chanjn2011|moazedd1996|strahlbolsingers1997|hickmanm2007|collinssr2007	16956377|11805837|19782027|23307867|11805826|21896656|15282295|17200106|12024030|9122169|16554755|16543151|17316680|17043313|17676954|10757754|11500379|8752220|21690292|21822217|10219245|19217406|21664583|10835361|22654676|9000052
YDL042C (u) YDR233C	huangj2006	17043313
YDR233C (u) YDL042C	huangj2006	17043313
YDL042C (u) YDR247W	breitkreutza2010	20489023
YDR247W (u) YDL042C	breitkreutza2010	20489023
YDL042C (u) YDR310C	hickmanma2007	17676954
