#item	conf(sigma) (out of 1000 total sols)
p352	0.825000
p353	0.892000
p354	0.892000
p355	0.897000
p356	0.846000
p357	0.909000
p291	0.904000
p359	0.907000
p293	0.914000
p292	0.907000
p295	0.917000
p294	0.907000
p297	0.904000
p296	0.909000
p596	0.909000
p597	0.650000
p594	0.037000
p582	0.811000
p592	0.027000
p593	0.907000
p459	0.907000
p458	0.909000
p457	0.918000
p456	0.880000
p455	0.001000
p454	0.913000
p453	0.899000
p452	0.903000
p451	0.921000
p450	0.694000
p277	0.913000
p179	0.821000
p275	0.907000
p274	0.847000
p273	0.902000
p272	0.897000
p271	0.847000
p270	0.906000
p170	0.911000
p171	0.893000
p172	0.825000
p173	0.908000
p174	0.951000
p175	0.825000
p279	0.918000
p278	0.902000
p462	0.899000
p829	0.915000
p588	0.895000
p664	0.646000
p185	0.910000
p184	0.905000
p187	0.911000
p186	0.910000
p181	0.888000
p180	0.920000
p183	0.907000
p182	0.784000
p189	0.899000
p188	0.894000
p772	0.950000
p773	1.000000
p770	0.866000
p771	0.906000
p776	0.909000
p777	0.893000
p774	0.908000
p775	0.893000
p673	0.911000
p665	0.912000
p671	0.910000
p779	0.904000
p677	0.899000
p820	0.906000
p675	0.899000
p821	0.914000
p240	0.779000
p241	0.905000
p666	0.898000
p56	0.903000
p624	0.906000
p625	0.911000
p626	0.917000
p586	0.923000
p627	0.905000
p564	0.779000
p152	0.908000
p161	0.897000
p621	0.912000
p98	0.571000
p99	0.746000
p249	0.899000
p150	0.907000
p90	0.905000
p91	0.813000
p92	0.904000
p93	0.899000
p94	0.906000
p95	0.906000
p431	0.914000
p97	0.906000
p919	0.910000
p912	0.907000
p790	0.913000
p910	0.905000
p528	0.905000
p926	0.898000
p917	0.801000
p783	0.565000
p24	0.915000
p27	0.646000
p26	0.895000
p21	0.900000
p20	0.914000
p23	0.905000
p22	0.904000
p789	0.899000
p788	0.908000
p29	0.888000
p413	0.910000
p754	0.823000
p828	0.915000
p410	0.955000
p417	0.908000
p416	0.911000
p415	0.910000
p414	0.914000
p822	0.907000
p823	0.906000
p419	0.963000
p418	0.895000
p826	0.904000
p827	0.904000
p824	0.895000
p825	0.915000
p558	0.906000
p559	0.920000
p748	0.898000
p552	0.914000
p553	0.902000
p550	0.907000
p551	0.901000
p556	0.904000
p557	0.902000
p554	0.049000
p555	0.899000
p239	0.899000
p238	0.899000
p200	0.077000
p233	0.902000
p232	0.908000
p231	0.908000
p753	0.915000
p237	0.906000
p236	0.896000
p235	0.902000
p234	0.890000
p793	0.688000
p736	0.815000
p737	0.912000
p734	0.911000
p735	0.746000
p732	0.899000
p733	0.905000
p730	0.821000
p731	0.913000
p611	0.948000
p738	0.809000
p610	0.948000
p794	0.866000
p613	0.890000
p309	0.039000
p308	0.894000
p307	0.915000
p306	0.911000
p305	0.907000
p304	0.908000
p303	0.911000
p302	0.907000
p301	0.908000
p300	0.902000
p127	0.905000
p126	0.956000
p125	0.892000
p124	0.905000
p123	0.907000
p122	0.909000
p121	0.803000
p120	0.963000
p795	0.903000
p128	0.892000
p796	0.907000
p602	0.921000
p603	0.913000
p600	0.905000
p601	0.001000
p606	0.825000
p607	0.903000
p604	0.896000
p605	0.920000
p880	0.921000
p608	0.895000
p609	0.615000
p881	0.804000
p797	0.916000
p285	0.907000
p595	0.917000
p2	0.910000
p3	0.898000
p0	0.906000
p1	0.895000
p6	0.819000
p7	0.907000
p4	0.895000
p5	0.907000
p761	0.043000
p8	0.909000
p9	0.903000
p889	0.904000
p618	0.898000
p755	0.909000
p61	0.905000
p60	0.909000
p63	0.903000
p62	0.049000
p65	0.901000
p64	0.896000
p67	0.893000
p66	0.950000
p69	0.899000
p68	0.049000
p905	0.903000
p904	0.905000
p907	0.902000
p906	0.905000
p901	0.909000
p900	0.916000
p903	0.916000
p869	0.904000
p866	0.902000
p867	0.902000
p864	0.822000
p865	0.861000
p862	0.910000
p863	0.924000
p860	0.910000
p861	0.890000
p518	0.906000
p519	0.911000
p516	0.895000
p517	0.910000
p514	0.913000
p515	0.914000
p512	0.895000
p513	0.899000
p510	0.825000
p145	0.892000
p299	0.911000
p549	0.895000
p298	0.899000
p899	0.914000
p436	0.048000
p918	0.003000
p343	0.906000
p342	0.828000
p341	0.909000
p340	0.913000
p347	0.904000
p346	0.906000
p345	0.907000
p344	0.908000
p349	0.899000
p348	0.897000
p632	0.789000
p12	0.906000
p581	0.811000
p358	0.909000
p468	0.954000
p469	0.946000
p585	0.621000
p584	0.901000
p587	0.952000
p751	0.907000
p589	0.908000
p463	0.909000
p460	0.902000
p461	0.904000
p466	0.903000
p467	0.910000
p464	0.909000
p465	0.897000
p242	0.914000
p243	0.821000
p169	0.811000
p168	0.895000
p246	0.899000
p247	0.907000
p244	0.911000
p245	0.899000
p163	0.911000
p162	0.914000
p248	0.817000
p160	0.905000
p167	0.811000
p166	0.050000
p165	0.823000
p164	0.909000
p18	0.900000
p646	0.898000
p647	0.005000
p645	0.896000
p642	0.914000
p643	0.813000
p640	0.089000
p641	0.910000
p648	0.908000
p649	0.923000
p884	0.901000
p885	0.916000
p886	0.909000
p887	0.915000
p769	0.573000
p768	0.814000
p882	0.905000
p883	0.904000
p765	0.900000
p764	0.003000
p767	0.081000
p766	0.081000
p888	0.907000
p760	0.898000
p763	0.907000
p762	0.904000
p590	0.898000
p401	0.917000
p591	0.825000
p129	0.099000
p406	0.961000
p818	0.905000
p361	0.894000
p598	0.959000
p409	0.037000
p599	0.904000
p363	0.811000
p845	0.882000
p178	0.043000
p814	0.897000
p846	0.910000
p276	0.907000
p847	0.910000
p812	0.907000
p848	0.820000
p367	0.811000
p849	0.917000
p810	0.907000
p612	0.898000
p660	0.916000
p739	0.899000
p530	0.912000
p531	0.903000
p373	0.890000
p835	0.901000
p834	0.903000
p38	0.902000
p836	0.910000
p831	0.847000
p176	0.894000
p833	0.910000
p832	0.847000
p32	0.897000
p33	0.913000
p30	0.906000
p31	0.888000
p839	0.893000
p37	0.909000
p34	0.899000
p35	0.102000
p545	0.900000
p547	0.896000
p546	0.899000
p541	0.899000
p540	0.917000
p428	0.909000
p429	0.909000
p426	0.909000
p427	0.896000
p424	0.893000
p425	0.905000
p422	0.905000
p423	0.910000
p420	0.901000
p421	0.912000
p927	0.900000
p539	0.914000
p433	0.687000
p387	0.903000
p432	0.880000
p386	0.906000
p923	0.907000
p922	0.906000
p921	0.898000
p920	0.746000
p747	0.003000
p721	0.919000
p720	0.903000
p688	0.949000
p689	0.889000
p725	0.908000
p724	0.813000
p727	0.899000
p726	0.902000
p682	0.911000
p683	0.866000
p680	0.911000
p681	0.899000
p686	0.899000
p687	0.890000
p684	0.917000
p479	0.820000
p338	0.858000
p339	0.900000
p332	0.917000
p333	0.901000
p330	0.918000
p331	0.908000
p336	0.825000
p337	0.858000
p334	0.899000
p335	0.901000
p112	0.904000
p110	0.916000
p111	0.911000
p116	0.790000
p117	0.153000
p114	0.956000
p115	0.897000
p118	0.890000
p119	0.906000
p226	0.014000
p227	0.905000
p312	0.177000
p915	0.913000
p623	0.921000
p206	0.861000
p207	0.863000
p756	0.915000
p757	0.906000
p750	0.893000
p203	0.897000
p752	0.842000
p201	0.817000
p615	0.895000
p614	0.900000
p617	0.900000
p616	0.912000
p758	0.955000
p759	0.910000
p208	0.911000
p209	0.914000
p728	0.907000
p543	0.005000
p678	0.898000
p76	0.915000
p77	0.915000
p74	0.912000
p75	0.894000
p72	0.910000
p73	0.899000
p70	0.814000
p71	0.909000
p817	0.907000
p78	0.910000
p79	0.907000
p879	0.959000
p878	0.904000
p672	0.893000
p871	0.825000
p870	0.908000
p873	0.888000
p872	0.923000
p875	0.905000
p874	0.895000
p877	0.888000
p876	0.813000
p509	0.688000
p508	0.817000
p670	0.001000
p791	0.907000
p501	0.912000
p500	0.913000
p503	0.903000
p502	0.837000
p505	0.908000
p504	0.837000
p507	0.897000
p506	0.818000
p230	0.926000
p411	0.899000
