#item	conf(y) (out of 1000 total sols)
YNL078W	1.000000	955	45
CDC14ID2	0.997000	997	0
CDC14ID3	0.951000	951	0
YJL020C	1.000000	944	56
YPL203W	1.000000	947	53
CDC14ID9	1.000000	1000	0
YPR185W	0.856100	821	41
YGR052W	1.001052	952	49
YOL148C	0.944328	899	48
YBL016W	1.000000	945	55
YPR119W	1.000000	946	54
HOG1ID28	1.000000	1000	0
HOG1ID29	1.000000	1000	0
HOG1ID27	1.000000	1000	0
HOG1ID25	1.000000	1000	0
HOG1RA39	0.999000	999	0
YDL149W	1.000000	943	57
YHR061C	0.155556	154	10
YDL220C	1.000000	958	42
YPL115C	0.978125	939	40
YJL164C	1.000000	946	54
YJL080C	1.000000	949	51
YIL035C	0.900315	858	47
YJR059W	1.000000	950	50
NPR74	1.000000	1000	0
YPL031C	0.960084	914	48
NPR76	1.000000	1000	0
NPR70	0.997000	997	0
YAR014C	1.000000	940	60
NPR72	0.997000	997	0
NPR73	1.000000	1000	0
YFR028C	1.000000	1000	0
YFR014C	0.945664	905	43
YML121W	0.942044	894	51
YGR218W	1.000000	957	43
YHR107C	1.000000	947	53
HOG1IA30	0.998000	998	0
YOR141C	1.000000	956	44
YNL183C	1.000000	956	44
YER167W	0.956113	915	43
YDR356W	0.716942	694	32
CDC14RA12	0.959000	959	0
YDL155W	1.000000	963	37
YKR048C	1.000000	946	54
YKL161C	1.000000	954	46
HOG1ID31	1.000000	1000	0
HOG1ID32	1.000000	1000	0
YDR247W	1.000000	951	49
YLR345W	1.000000	947	53
YDL140C	1.000000	941	59
YGL210W	0.998957	958	41
YBL064C	0.997906	953	45
YJL095W	0.899063	864	39
YGL003C	0.929387	895	37
YCR086W	0.005000	5	0
YJR066W	0.594008	575	32
YLR116W	0.947534	903	47
YPR032W	1.001042	961	40
YDL025C	1.000000	951	49
YPR171W	0.944269	898	49
YOR224C	1.000000	959	41
YBR154C	0.946372	900	49
