etype=CatSet(acetylation|deacetylation|demethylation|deubiquitination|given_gasch|given_gaschphos|glycosylation|kinase_substrate|metabolic_pathway|methylation|modification|neddrub1ylation|phosphatase_substrate|phosphorylation_and_dephosphorylation|ppi|prenylation|proteolyticprocessing|sumoylation|ubiquitination)	GENEA	GENEB	dir	sign	source	pmid
acetylation	YOR244W	YBR148W	1	0	linyy2009	19303850
acetylation	YOR244W	YCL040W	1	0	linyy2009	19303850
acetylation	YOR244W	YCL054W	1	0	linyy2009	19303850
acetylation	YOR244W	YDL031W	1	0	linyy2009	19303850
acetylation	YOR244W	YDL070W	1	0	linyy2009	19303850
acetylation	YOR244W	YDL225W	1	0	mitchelll2011	21984913
acetylation	YOR244W	YDR054C	1	0	linyy2009	19303850
acetylation	YOR244W	YDR224C	1	0	scottem2010	20810648
acetylation	YOR244W	YDR225W	1	0	scottem2010|clarkeas1999	10082517|20810648
acetylation	YOR244W	YDR273W	1	0	linyy2009	19303850
acetylation	YOR244W	YDR328C	1	0	linyy2009	19303850
acetylation	YOR244W	YDR346C	1	0	linyy2009	19303850
acetylation	YOR244W	YDR530C	1	0	linyy2009	19303850
acetylation	YOR244W	YER023W	1	0	linyy2009	19303850
acetylation	YOR244W	YER030W	1	0	linyy2009	19303850
acetylation	YOR244W	YER134C	1	0	linyy2009	19303850
acetylation	YOR244W	YER174C	1	0	linyy2009	19303850
acetylation	YOR244W	YGL099W	1	0	linyy2009	19303850
acetylation	YOR244W	YGL110C	1	0	linyy2009	19303850
acetylation	YOR244W	YGL207W	1	0	linyy2009	19303850
acetylation	YOR244W	YGL208W	1	0	linyy2009	19303850
acetylation	YOR244W	YGL213C	1	0	linyy2009	19303850
acetylation	YOR244W	YGR001C	1	0	linyy2009	19303850
acetylation	YOR244W	YGR017W	1	0	linyy2009	19303850
acetylation	YOR244W	YGR106C	1	0	linyy2009	19303850
acetylation	YOR244W	YGR180C	1	0	linyy2009	19303850
acetylation	YOR244W	YHL013C	1	0	linyy2009	19303850
acetylation	YOR244W	YHL014C	1	0	linyy2009	19303850
acetylation	YOR244W	YHL033C	1	0	linyy2009	19303850
acetylation	YOR244W	YHR107C	1	0	mitchelll2011	21984913
acetylation	YOR244W	YIL078W	1	0	linyy2009	19303850
acetylation	YOR244W	YIL142W	1	0	linyy2009	19303850
acetylation	YOR244W	YIL154C	1	0	linyy2009	19303850
acetylation	YOR244W	YJL115W	1	0	linyy2009	19303850
acetylation	YOR244W	YKL160W	1	0	linyy2009	19303850
acetylation	YOR244W	YKL181W	1	0	linyy2009	19303850
acetylation	YOR244W	YKL191W	1	0	linyy2009	19303850
acetylation	YOR244W	YKL206C	1	0	linyy2009	19303850
acetylation	YOR244W	YKR048C	1	0	linyy2009	19303850
acetylation	YOR244W	YKR084C	1	0	linyy2009	19303850
acetylation	YOR244W	YKR097W	1	0	linyy2009	19303850
acetylation	YOR244W	YLL022C	1	0	linyy2009	19303850
acetylation	YOR244W	YLL026W	1	0	linyy2009	19303850
acetylation	YOR244W	YLL036C	1	0	linyy2009	19303850
acetylation	YOR244W	YLR192C	1	0	linyy2009	19303850
acetylation	YOR244W	YLR195C	1	0	linyy2009	19303850
acetylation	YOR244W	YLR257W	1	0	linyy2009	19303850
acetylation	YOR244W	YLR258W	1	0	linyy2009	19303850
acetylation	YOR244W	YLR265C	1	0	linyy2009	19303850
acetylation	YOR244W	YLR285W	1	0	linyy2009	19303850
acetylation	YOR244W	YLR314C	1	0	mitchelll2011	21984913
acetylation	YOR244W	YLR330W	1	0	linyy2009	19303850
acetylation	YOR244W	YLR345W	1	0	linyy2009	19303850
acetylation	YOR244W	YLR397C	1	0	linyy2009	19303850
acetylation	YOR244W	YML062C	1	0	linyy2009	19303850
acetylation	YOR244W	YML074C	1	0	linyy2009	19303850
acetylation	YOR244W	YML093W	1	0	linyy2009	19303850
acetylation	YOR244W	YMR028W	1	0	linyy2009	19303850
acetylation	YOR244W	YMR140W	1	0	linyy2009	19303850
acetylation	YOR244W	YMR196W	1	0	linyy2009	19303850
acetylation	YOR244W	YMR304W	1	0	linyy2009	19303850
acetylation	YOR244W	YNL030W	1	0	utleyrt2005|scottem2010|yic2012|clarkeas1999	10082517|22539722|16135807|20810648
acetylation	YOR244W	YNL031C	1	0	scottem2010|clarkeas1999	10082517|20810648
acetylation	YOR244W	YNL094W	1	0	linyy2009	19303850
acetylation	YOR244W	YNL166C	1	0	linyy2009	19303850
acetylation	YOR244W	YNL215W	1	0	linyy2009	19303850
acetylation	YOR244W	YNL225C	1	0	linyy2009	19303850
acetylation	YOR244W	YNL246W	1	0	linyy2009	19303850
acetylation	YOR244W	YNL308C	1	0	linyy2009	19303850
acetylation	YOR244W	YNR007C	1	0	linyy2009|yic2012	22539722|19303850
acetylation	YOR244W	YNR033W	1	0	linyy2009	19303850
acetylation	YOR244W	YNR034W	1	0	linyy2009	19303850
acetylation	YOR244W	YNR038W	1	0	linyy2009	19303850
acetylation	YOR244W	YOL012C	1	0	keoghmc2006	16543219
acetylation	YOR244W	YOL077C	1	0	linyy2009	19303850
acetylation	YOR244W	YOR083W	1	0	linyy2009	19303850
acetylation	YOR244W	YOR117W	1	0	linyy2009	19303850
acetylation	YOR244W	YOR239W	1	0	linyy2009	19303850
acetylation	YOR244W	YOR281C	1	0	linyy2009	19303850
acetylation	YOR244W	YOR335C	1	0	linyy2009	19303850
acetylation	YOR244W	YOR354C	1	0	linyy2009	19303850
acetylation	YOR244W	YPL004C	1	0	linyy2009	19303850
acetylation	YOR244W	YPL106C	1	0	linyy2009	19303850
acetylation	YOR244W	YPL110C	1	0	linyy2009	19303850
acetylation	YOR244W	YPL139C	1	0	linyy2009	19303850
acetylation	YOR244W	YPL190C	1	0	linyy2009	19303850
acetylation	YOR244W	YPL222W	1	0	linyy2009	19303850
acetylation	YOR244W	YPL260W	1	0	linyy2009	19303850
acetylation	YOR244W	YPR049C	1	0	linyy2009	19303850
acetylation	YOR244W	YPR083W	1	0	linyy2009	19303850
acetylation	YOR244W	YPR089W	1	0	linyy2009	19303850
acetylation	YOR244W	YPR135W	1	0	linyy2009	19303850
acetylation	YOR244W	YPR152C	1	0	linyy2009	19303850
acetylation	YOR244W	YPR160W	1	0	linyy2009	19303850
acetylation	YOR244W	YPR167C	1	0	linyy2009	19303850
acetylation	YPL047W	YNL031C	1	0	bianc2011	21685874
acetylation	YPL086C	YOL012C	1	0	keoghmc2006	16543219
acetylation	YPR051W	YLR306W	1	0	scottdc2011	21940857
deacetylation	YDL042C	YBR009C	1	0	xuf2007|imais2000|kuengs2012	22654676|10693811|17889663
deacetylation	YDL042C	YBR010W	1	0	xuf2007|imais2000|bhedap2012	10693811|17889663|22474337
deacetylation	YDL042C	YKR097W	1	0	linyy2009	19303850
deacetylation	YDL042C	YNL030W	1	0	xuf2007|imais2000|kuengs2012	22654676|10693811|17889663
deacetylation	YDL042C	YNL031C	1	0	xuf2007|imais2000|bhedap2012	10693811|17889663|22474337
deacetylation	YDR227W	YBR009C	1	0	kuengs2012	22654676
deacetylation	YDR227W	YNL030W	1	0	kuengs2012	22654676
deacetylation	YLR442C	YBR009C	1	0	kuengs2012	22654676
deacetylation	YLR442C	YNL030W	1	0	kuengs2012	22654676
deacetylation	YNL021W	YOL012C	1	0	lujy2011|linyy2008	18676811|21906795
deacetylation	YNL330C	YDR207C	1	0	mallorymj2012	22438583
deacetylation	YNL330C	YGL208W	1	0	lujy2011	21906795
deacetylation	YOL004W	YBR010W	1	0	vermeulenm2006	16809761
deacetylation	YOL004W	YNL031C	1	0	vermeulenm2006	16809761
deacetylation	YOR025W	YBR009C	1	0	thaminys2007	17977840
deacetylation	YOR025W	YBR010W	1	0	thaminys2007	17977840
deacetylation	YOR025W	YNL030W	1	0	thaminys2007	17977840
deacetylation	YOR025W	YNL031C	1	0	thaminys2007	17977840
deacetylation	YPL015C	YBR010W	1	0	bhedap2012	22474337
deacetylation	YPL015C	YLL002W	1	0	albaughbn2011	21606491
deacetylation	YPL015C	YNL031C	1	0	bhedap2012	22474337
deacetylation	YPR068C	YJL074C	1	0	borgesv2010|xiongb2010	20797861|20832720
demethylation	YER169W	YBR010W	1	0	kimt2007	17525156
demethylation	YER169W	YNL031C	1	0	kimt2007	17525156
demethylation	YJR119C	YBR010W	1	0	maltbyve2012|liangg2007|ingvarsdottirk2007	23091032|17310254|17875926
demethylation	YJR119C	YNL031C	1	0	liangg2007|ingvarsdottirk2007	17310254|17875926
deubiquitination	YBR111WA	YBL002W	1	0	koehlera2010	20434206
deubiquitination	YBR111WA	YDR224C	1	0	koehlera2010	20434206
deubiquitination	YDL122W	YIL148W	1	0	tobiasjw1991	2050695
deubiquitination	YDL122W	YKR094C	1	0	bakerrt1992|tobiasjw1991	2050695|1429680
deubiquitination	YDL122W	YLR167W	1	0	bakerrt1992|tobiasjw1991	2050695|1429680
deubiquitination	YER151C	YDL140C	1	0	kvintk2008	18498751
deubiquitination	YER151C	YDL159W	1	0	wangy2002	11864977
deubiquitination	YER151C	YKR094C	1	0	bakerrt1992	1429680
deubiquitination	YER151C	YLR167W	1	0	bakerrt1992	1429680
deubiquitination	YER151C	YPR181C	1	0	ossarehnazarib2010	20846524
deubiquitination	YGL066W	YBL002W	1	0	koehlera2010	20434206
deubiquitination	YGL066W	YDR224C	1	0	koehlera2010	20434206
deubiquitination	YJR099W	YKR094C	1	0	bakerrt1992	1429680
deubiquitination	YJR099W	YLR167W	1	0	bakerrt1992	1429680
deubiquitination	YMR223W	YBL002W	1	0	koehlera2010	20434206
deubiquitination	YMR223W	YDR224C	1	0	koehlera2010	20434206
deubiquitination	YMR223W	YDR477W	1	0	wilsonma2011	21628526
deubiquitination	YMR304W	YDR244W	1	0	debelyymo2011	21665945
deubiquitination	YNL186W	YOR341W	1	0	richardsonla2012	22902402
deubiquitination	YOR124C	YBL101C	1	0	keey2006	17028178
deubiquitination	YOR124C	YDL140C	1	0	harremanm2009	19920177
deubiquitination	YOR124C	YKL020C	1	0	keey2005	15933713
deubiquitination	YOR124C	YKR094C	1	0	bakerrt1992	1429680
deubiquitination	YOR124C	YLR167W	1	0	bakerrt1992	1429680
deubiquitination	YOR124C	YPR030W	1	0	keey2006	17028178
deubiquitination	YPL047W	YBL002W	1	0	koehlera2010	20434206
deubiquitination	YPL047W	YDR224C	1	0	koehlera2010	20434206
given_gaschphos	YJL141C	YIL033C	1	0	audrey	11134339
given_gaschphos	YJR066W	YHR205W	1	0	audrey
given_gaschphos	YKL166C	YJL141C	1	0	audrey
given_gasch	YAL040C	YMR037C	1	0	audrey
given_gasch	YAL056W	YBR140C	0	0	audrey
given_gasch	YAL056W	YHR005C	1	-1	audrey
given_gasch	YAL056W	YOL081W	0	0	audrey
given_gasch	YBR140C	YNL098C	1	-1	audrey
given_gasch	YCL032W	YJL128C	1	0	audrey
given_gasch	YCL032W	YLR006C	1	0	audrey
given_gasch	YCL032W	YNR031C	1	0	audrey
given_gasch	YDR099W	YKL062W	1	1	audrey
given_gasch	YDR099W	YMR037C	1	-1	audrey
given_gasch	YEL062W	YHL023C	0	0	audrey
given_gasch	YEL062W	YJR066W	1	-1	audrey
given_gasch	YER177W	YKL062W	1	-1	audrey
given_gasch	YER177W	YMR037C	1	-1	audrey
given_gasch	YFR028C	YJR066W	0	0	audrey
given_gasch	YFR028C	YKL203C	0	0	audrey
given_gasch	YHL023C	YJR066W	1	-1	audrey
given_gasch	YHR005C	YJL005W	0	0	audrey
given_gasch	YHR005C	YJL005W	0	0	audrey
given_gasch	YJL128C	YLR113W	1	0	audrey
given_gasch	YJL164C	YMR037C	1	-1	audrey
given_gasch	YLR310C	YNL098C	0	0	audrey
given_gasch	YLR362W	YJL128C	1	0	audrey
given_gasch	YNR031C	YJL128C	1	0	audrey
given_gasch	YOR360C	YJL164C	1	-1	audrey_cAMP
given_gasch	YOR360C	YKL166C	1	-1	audrey
given_gasch	YOR360C	YPL203W	1	-1	audrey_cAMP
given_gasch	YOR371C	YBR140C	0	0	audrey
given_gasch	YOR371C	YOL081W	0	0	audrey
kinase_substrate	Q0160	YBL075C	1	0	kawasakik2004	15618627
kinase_substrate	YAL017W	YAR019C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YCL043C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YDL153C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YDR134C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YDR259C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YDR293C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YDR454C	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YGL245W	1	0	ptacekj2005	16319894
kinase_substrate	YAL017W	YHL024W	1	0	ptacekj2005	16319894
