Protein,Total
YOL004W,26
YGL008C,26
YNL251C,26
YJL036W,26
YLR399C,26
YOL149W,26
YPR187W,26
YLR274W,26
YHR041C,26
YPR010C,26
YGL092W,26
YJL006C,26
YDL047W,26
YKL049C,26
YAR002W,26
YLR335W,26
YPR120C,26
YGL212W,26
YHR084W,26
YHR005C,26
YDL229W,26
YDR363WA,26
YNL102W,26
YOL135C,26
YLR357W,25
YJL122W,25
YLR075W,25
YJR072C,25
YDR122W,25
YJL194W,25
YPR056W,25
YDL159W,25
YNL007C,25
YGR048W,25
YOR123C,25
YBR289W,25
YHL025W,25
YOL045W,25
YOR257W,25
YJR112W,25
YML121W,25
YFR034C,25
YKL185W,25
YML103C,25
YML069W,25
YJL128C,25
YDR138W,25
YBL078C,25
YMR203W,25
YLR208W,25
YGR179C,25
YOR204W,25
YOR272W,25
YBR279W,25
YDR489W,25
YBR202W,24
YLR002C,24
YNL055C,24
YOR174W,24
YBL079W,24
YDR427W,24
YDL070W,24
YGR056W,24
YLR103C,24
YOL041C,24
YDR244W,24
YBL050W,24
YML091C,24
YBR211C,24
YNL020C,24
YLR442C,24
YOR259C,24
YPL012W,24
YKR062W,24
YPL181W,24
YOL086C,24
YDR392W,24
YGR047C,24
YBR136W,24
YMR276W,24
YGL253W,24
YDL064W,24
YNL222W,24
YCL037C,24
YNR024W,24
YOR056C,24
YIR006C,24
YNL271C,24
YJL034W,24
YGL116W,24
YIL109C,24
YOL077C,24
YNL209W,24
YBR272C,24
YML092C,23
YDL013W,23
YGR200C,23
YPL047W,23
YOL128C,23
YMR109W,23
YBR111WA,23
YMR140W,23
YPL018W,23
YLR249W,23
YOL082W,23
YNL121C,23
YDL077C,23
YCR093W,23
YLR418C,23
YML062C,23
YML074C,23
YHR143WA,23
YPL254W,23
YML031W,23
YGR245C,23
YNL006W,23
YDL002C,23
YGR097W,23
YNL287W,23
YOR089C,23
YOR207C,23
YBR173C,23
YIL162W,23
YLR093C,23
YHR090C,23
YKL028W,23
YNR006W,22
YFL005W,22
Q0250,22
YKR014C,22
YBL084C,22
YBR034C,22
YPR108W,22
YER025W,22
YBR041W,22
YDL088C,22
YLR314C,22
YNL004W,22
YFL033C,22
YDL097C,22
YKL130C,22
YLR018C,22
YLR182W,22
YOR153W,22
YLL006W,22
YER021W,22
YKR082W,22
YMR080C,22
YNL064C,22
YMR036C,22
YGR013W,22
YNL227C,22
YLL045C,22
YCL029C,22
YAL017W,22
YNL182C,22
YHR058C,22
YML085C,22
YIL070C,22
YIR026C,22
YDR103W,22
YDR207C,22
YNL244C,22
YMR190C,22
YNL288W,21
YNL147W,21
YJR093C,21
YOR206W,21
YFR024CA,21
YPR165W,21
YAL038W,21
YDR054C,21
YER087CB,21
YDR334W,21
YFR021W,21
YDR468C,21
YNR054C,21
YLR424W,21
YMR033W,21
YER146W,21
YDR254W,21
YDR301W,21
YLR396C,21
YPR070W,21
YCL011C,21
YLR127C,21
YGR282C,21
YDR146C,21
YPR161C,21
YKR002W,21
YBR247C,21
YKL022C,21
YPL180W,21
YGL093W,21
YBL024W,21
YFR053C,21
YGR002C,21
YAL030W,21
YGR229C,21
YNL206C,21
YAL041W,21
YDR308C,21
YGR090W,21
YMR239C,21
YLR262C,21
YMR197C,21
YHR166C,21
YBR108W,21
YBL011W,21
YJL074C,21
YOR036W,21
YDR013W,21
YGL058W,21
YCR072C,21
YFR037C,21
YDL007W,21
