systematic_name_dash_removed,systematic_name
YPR199C,YPR199C
YPR200C,YPR200C
YPR201W,YPR201W
YLR392C,YLR392C
YGR068C,YGR068C
YLR242C,YLR242C
YDR101C,YDR101C
YPR085C,YPR085C
YMR116C,YMR116C
YOR058C,YOR058C
YJL115W,YJL115W
YDL197C,YDL197C
YIL130W,YIL130W
YJL170C,YJL170C
YKL185W,YKL185W
YMR119W,YMR119W
YNL159C,YNL159C
YNL008C,YNL008C
YGR097W,YGR097W
YKL052C,YKL052C
YDL088C,YDL088C
YPR145W,YPR145W
YGR124W,YGR124W
YDR321W,YDR321W
YLR155C,YLR155C
YLR157C,YLR157C
YLR158C,YLR158C
YLR160C,YLR160C
YPR093C,YPR093C
YBL069W,YBL069W
YER101C,YER101C
YDR184C,YDR184C
YGL017W,YGL017W
YOR377W,YOR377W
YGR177C,YGR177C
YGL180W,YGL180W
YLL042C,YLL042C
YPR049C,YPR049C
YBR217W,YBR217W
YPR185W,YPR185W
YBR128C,YBR128C
YCR068W,YCR068W
YMR159C,YMR159C
YLR423C,YLR423C
YFR021W,YFR021W
YOL082W,YOL082W
YDL113C,YDL113C
YNL242W,YNL242W
YPL100W,YPL100W
YCL038C,YCL038C
YLR431C,YLR431C
YLR189C,YLR189C
YJL178C,YJL178C
YPL166W,YPL166W
YNR007C,YNR007C
YDR022C,YDR022C
YIL146C,YIL146C
YLR356W,YLR356W
YOL083W,YOL083W
YJL185C,YJL185C
YLR211C,YLR211C
YNL223W,YNL223W
YPL149W,YPL149W
YHR171W,YHR171W
YBL078C,YBL078C
YDL149W,YDL149W
YPR026W,YPR026W
YMR301C,YMR301C
YNR002C,YNR002C
YDR384C,YDR384C
YBL099W,YBL099W
YLR393W,YLR393W
YNL315C,YNL315C
YJL180C,YJL180C
YLR295C,YLR295C
YPL271W,YPL271W
YDL004W,YDL004W
YDR377W,YDR377W
YML081CA,YML081C-A
YOL077WA,YOL077W-A
YJR121W,YJR121W
YPR020W,YPR020W
YDR350C,YDR350C
YNR020C,YNR020C
YMR098C,YMR098C
YBR039W,YBR039W
YPL078C,YPL078C
YDR298C,YDR298C
YKL016C,YKL016C
YML116W,YML116W
YAL020C,YAL020C
YNL259C,YNL259C
YOR079C,YOR079C
YFL010WA,YFL010W-A
YKL004W,YKL004W
YOR011W,YOR011W
YLR114C,YLR114C
YOL078W,YOL078W
YMR068W,YMR068W
YJR001W,YJR001W
YEL064C,YEL064C
YKL146W,YKL146W
YNL101W,YNL101W
YBL089W,YBL089W
YER119C,YER119C
YIL088C,YIL088C
YPR122W,YPR122W
YIL140W,YIL140W
YIL124W,YIL124W
YLL063C,YLL063C
YOR113W,YOR113W
YGR224W,YGR224W
YOR134W,YOR134W
YBR068C,YBR068C
YDR046C,YDR046C
YIL015W,YIL015W
YKR099W,YKR099W
YHR208W,YHR208W
YJR148W,YJR148W
YJL020C,YJL020C
YPL255W,YPL255W
YHR040W,YHR040W
YMR237W,YMR237W
YKR027W,YKR027W
YJL095W,YJL095W
YER167W,YER167W
YDR361C,YDR361C
YDR375C,YDR375C
YIL033C,YIL033C
YLR399C,YLR399C
YDL070W,YDL070W
YAL060W,YAL060W
YAL061W,YAL061W
YNL039W,YNL039W
YOL164W,YOL164W
YBR200W,YBR200W
YER155C,YER155C
YPL115C,YPL115C
YPL161C,YPL161C
YLR412W,YLR412W
YIL004C,YIL004C
YPR176C,YPR176C
YKR068C,YKR068C
YJL031C,YJL031C
YML077W,YML077W
YJR053W,YJR053W
YOR198C,YOR198C
YDR299W,YDR299W
YGR282C,YGR282C
YHR101C,YHR101C
YCL029C,YCL029C
YOR304CA,YOR304C-A
YER016W,YER016W
YGR286C,YGR286C
YNR058W,YNR058W
YNR057C,YNR057C
YNR056C,YNR056C
YJR089W,YJR089W
YBR270C,YBR270C
YJL058C,YJL058C
YKL061W,YKL061W
YFL007W,YFL007W
YLR408C,YLR408C
YER177W,YER177W
YDR099W,YDR099W
YPL217C,YPL217C
YBR141C,YBR141C
YIL096C,YIL096C
YLR063W,YLR063W
YJR025C,YJR025C
YJR078W,YJR078W
YJL060W,YJL060W
YBL098W,YBL098W
YLR231C,YLR231C
YFR047C,YFR047C
YDR428C,YDR428C
YNL271C,YNL271C
YNL233W,YNL233W
YNL166C,YNL166C
YIL159W,YIL159W
YGR230W,YGR230W
YBL085W,YBL085W
YER114C,YER114C
YLR267W,YLR267W
YNL042W,YNL042W
YNL275W,YNL275W
YLR078C,YLR078C
YCR032W,YCR032W
YDL141W,YDL141W
YLL015W,YLL015W
YDL074C,YDL074C
YLR015W,YLR015W
YDL231C,YDL231C
YNR051C,YNR051C
YGR246C,YGR246C
YHR036W,YHR036W
YBL097W,YBL097W
YPL084W,YPL084W
YGL007W,YGL007W
YPR057W,YPR057W
YER172C,YER172C
YGL247W,YGL247W
YOL077C,YOL077C
YDL037C,YDL037C
YDR275W,YDR275W
YLR465C,YLR465C
YNL269W,YNL269W
YNR069C,YNR069C
YOL137W,YOL137W
YBR290W,YBR290W
YPR171W,YPR171W
YFL025C,YFL025C
YGR142W,YGR142W
YPL069C,YPL069C
YDR252W,YDR252W
YGR188C,YGR188C
YMR055C,YMR055C
YOR026W,YOR026W
YGL174W,YGL174W
YAR014C,YAR014C
YEL029C,YEL029C
YNR027W,YNR027W
YJL188C,YJL188C
YKL092C,YKL092C
YLR074C,YLR074C
YOR078W,YOR078W
YMR014W,YMR014W
YCR047C,YCR047C
YER014CA,YER014C-A
YDR241W,YDR241W
YFL023W,YFL023W
YLR062C,YLR062C
YCL014W,YCL014W
YDL151C,YDL151C
YCR063W,YCR063W
