Protein1,Protein2,Interaction,Directed
YDL042C,YNL031C,deacetylation,1
YDR227W,YBR009C,deacetylation,1
YDR227W,YNL030W,deacetylation,1
YLR442C,YBR009C,deacetylation,1
YLR442C,YNL030W,deacetylation,1
YNL021W,YOL012C,deacetylation,1
YNL330C,YDR207C,deacetylation,1
YNL330C,YGL208W,deacetylation,1
YOL004W,YBR010W,deacetylation,1
YOL004W,YNL031C,deacetylation,1
YOR025W,YBR009C,deacetylation,1
YOR025W,YBR010W,deacetylation,1
YOR025W,YNL030W,deacetylation,1
YOR025W,YNL031C,deacetylation,1
YPL015C,YBR010W,deacetylation,1
YPL015C,YLL002W,deacetylation,1
YPL015C,YNL031C,deacetylation,1
YPR068C,YJL074C,deacetylation,1
YER169W,YBR010W,demethylation,1
YER169W,YNL031C,demethylation,1
YJR119C,YBR010W,demethylation,1
YJR119C,YNL031C,demethylation,1
YBR111WA,YBL002W,deubiquitination,1
YBR111WA,YDR224C,deubiquitination,1
YDL122W,YIL148W,deubiquitination,1
YDL122W,YKR094C,deubiquitination,1
YDL122W,YLR167W,deubiquitination,1
YER151C,YDL140C,deubiquitination,1
YER151C,YDL159W,deubiquitination,1
YER151C,YKR094C,deubiquitination,1
YER151C,YLR167W,deubiquitination,1
YER151C,YPR181C,deubiquitination,1
YGL066W,YBL002W,deubiquitination,1
YGL066W,YDR224C,deubiquitination,1
YJR099W,YKR094C,deubiquitination,1
YJR099W,YLR167W,deubiquitination,1
YMR223W,YBL002W,deubiquitination,1
YMR223W,YDR224C,deubiquitination,1
YMR223W,YDR477W,deubiquitination,1
YMR304W,YDR244W,deubiquitination,1
YNL186W,YOR341W,deubiquitination,1
YOR124C,YBL101C,deubiquitination,1
YOR124C,YDL140C,deubiquitination,1
YOR124C,YKL020C,deubiquitination,1
YOR124C,YKR094C,deubiquitination,1
YOR124C,YLR167W,deubiquitination,1
YOR124C,YPR030W,deubiquitination,1
YPL047W,YBL002W,deubiquitination,1
YPL047W,YDR224C,deubiquitination,1
YJL141C,YIL033C,given_gaschphos,1
YJR066W,YHR205W,given_gaschphos,1
YKL166C,YJL141C,given_gaschphos,1
YAL040C,YMR037C,given_gasch,1
YAL056W,YBR140C,given_gasch,0
YAL056W,YHR005C,given_gasch,1
YAL056W,YOL081W,given_gasch,0
