#Node1	Node2
YDR099W	YMR037C
YEL062W	YHL023C
YEL062W	YJR066W
YER177W	YKL062W
YER177W	YMR037C
YFR028C	YJR066W
YFR028C	YKL203C
YHL023C	YJR066W
YHR005C	YJL005W
YHR005C	YJL005W
YJL128C	YLR113W
YJL164C	YMR037C
YLR310C	YNL098C
YLR362W	YJL128C
YNR031C	YJL128C
YOR360C	YJL164C
YOR360C	YKL166C
YOR360C	YPL203W
YOR371C	YBR140C
YOR371C	YOL081W
Q0160	YBL075C
YAL017W	YAR019C
YAL017W	YCL043C
YAL017W	YDL153C
YAL017W	YDR134C
YAL017W	YDR259C
YAL017W	YDR293C
YAL017W	YDR454C
YAL017W	YGL245W
YAL017W	YHL024W
YAL017W	YJL110C
YAL017W	YKL168C
YAL017W	YLR257W
YAL017W	YML037C
YAL017W	YML073C
YAL017W	YMR184W
YAL017W	YNR047W
YAL017W	YOL125W
YAL017W	YPR160W
YAR019C	YBR151W
YAR019C	YBR162C
YAR019C	YGL245W
YAR019C	YGR092W
YAR019C	YIL106W
YAR019C	YML037C
YAR019C	YOR018W
YBL016W	YAL034C
YBL016W	YBL011W
YBL016W	YBL023C
YBL016W	YBL055C
YBL016W	YBL057C
YBL016W	YBR055C
YBL016W	YBR083W
YBL016W	YBR259W
YBL016W	YDL070W
YBL016W	YDL153C
YBL016W	YDL173W
YBL016W	YDR034CC
YBL016W	YDR103W
YBL016W	YDR120C
YBL016W	YDR152W
YBL016W	YDR153C
YBL016W	YDR225W
YBL016W	YDR266C
YBL016W	YDR388W
YBL016W	YDR439W
YBL016W	YDR440W
YBL016W	YDR480W
YBL016W	YEL032W
YBL016W	YEL050C
YBL016W	YEL053C
YBL016W	YER082C
YBL016W	YER098W
YBL016W	YER122C
YBL016W	YER151C
YBL016W	YFL023W
YBL016W	YFR039C
YBL016W	YGL055W
YBL016W	YGL082W
YBL016W	YGL099W
YBL016W	YGR027WA
YBL016W	YGR237C
YBL016W	YHL019C
YBL016W	YHR084W
YBL016W	YHR117W
YBL016W	YHR131C
YBL016W	YHR214CC
YBL016W	YJL117W
YBL016W	YJL157C
YBL016W	YJR014W
YBL016W	YKL064W
YBL016W	YKL081W
YBL016W	YLR003C
YBL016W	YLR192C
YBL016W	YLR310C
YBL016W	YLR394W
YBL016W	YLR451W
YBL016W	YML045WA
YBL016W	YMR153W
YBL016W	YMR186W
YBL016W	YMR235C
YBL016W	YMR262W
YBL016W	YNL054WA
YBL016W	YNL135C
YBL016W	YNL136W
YBL016W	YNL186W
YBL016W	YNL227C
YBL016W	YNL271C
YBL016W	YNL284CA
YBL016W	YNL293W
YBL016W	YNR019W
YBL016W	YNR050C
YBL016W	YOL016C
YBL016W	YOL023W
YBL016W	YOL103WA
YBL016W	YOL127W
YBL016W	YOL130W
YBL016W	YOR141C
YBL016W	YOR151C
YBL016W	YOR276W
YBL016W	YPL049C
YBL016W	YPL133C
YBL016W	YPL146C
YBL016W	YPL257WA
YBL016W	YPR086W
YBL016W	YPR115W
YBL016W	YPR137CA
YBL016W	YPR139C
YBL016W	YPR158CC
YBL016W	YPR158WA
YBL060W	YOR094W
YBL088C	YAR007C
YBL088C	YDL101C
YBL088C	YDL220C
YBL088C	YDR369C
YBL088C	YNL312W
YBL088C	YOR189W
YBL105C	YBL039C
YBL105C	YHL020C
YBL105C	YJL095W
YBL105C	YLR133W
YBL105C	YNL068C
YBL105C	YOR372C
YBR059C	YBL047C
YBR059C	YCR027C
YBR059C	YDR229W
YBR059C	YDR239C
YBR059C	YDR312W
YBR059C	YDR354W
YBR059C	YER131W
YBR059C	YFR021W
YBR059C	YFR024CA
YBR059C	YGL105W
YBR059C	YGL153W
YBR059C	YGL172W
YBR059C	YGL207W
YBR059C	YGL234W
YBR059C	YGR021W
YBR059C	YGR135W
YBR059C	YGR159C
YBR059C	YGR240C
YBR059C	YHR015W
YBR059C	YHR161C
YBR059C	YIL091C
YBR059C	YJL084C
YBR059C	YKR006C
YBR059C	YKR009C
YBR059C	YKR092C
YBR059C	YKR094C
YBR059C	YLL018C
YBR059C	YLR206W
YBR059C	YLR276C
YBR059C	YMR222C
YBR059C	YMR250W
YBR059C	YMR297W
YBR059C	YMR304W
YBR059C	YNL027W
YBR059C	YNL227C
YBR059C	YNL272C
YBR059C	YNL277W
YBR059C	YOR054C
YBR059C	YOR239W
YBR059C	YOR257W
YBR059C	YOR329C
YBR059C	YPL106C
YBR059C	YPL223C
YBR135W	YLR079W
YBR136W	YAR007C
YBR136W	YCL061C
YBR136W	YDL101C
YBR136W	YDL220C
YBR136W	YDR076W
YBR136W	YDR217C
YBR136W	YDR225W
YBR136W	YDR499W
YBR136W	YHR154W
YBR136W	YIL072W
YBR136W	YJR035W
YBR136W	YLR437C
YBR136W	YMR190C
YBR136W	YNL312W
YBR136W	YOR189W
YBR136W	YPL153C
YBR136W	YPR010C
YBR160W	YAL019W
YBR160W	YAL020C
YBR160W	YAL024C
YBR160W	YAL028W
YBR160W	YAL031C
YBR160W	YAL040C
YBR160W	YAR002W
YBR160W	YAR003W
YBR160W	YBL007C
YBR160W	YBL013W
YBR160W	YBL014C
YBR160W	YBL024W
YBR160W	YBL063W
YBR160W	YBL084C
YBR160W	YBL105C
YBR160W	YBR038W
YBR160W	YBR060C
YBR160W	YBR098W
YBR160W	YBR102C
YBR160W	YBR135W
YBR160W	YBR138C
YBR160W	YBR156C
YBR160W	YBR200W
YBR160W	YCL014W
YBR160W	YCL027W
YBR160W	YCL051W
YBR160W	YCL063W
YBR160W	YCR065W
YBR160W	YDL017W
YBR160W	YDL025C
YBR160W	YDL028C
YBR160W	YDL070W
YBR160W	YDL089W
YBR160W	YDL106C
YBR160W	YDL113C
YBR160W	YDL140C
YBR160W	YDL153C
YBR160W	YDL174C
YBR160W	YDL189W
YBR160W	YDL220C
YBR160W	YDL225W
YBR160W	YDL239C
YBR160W	YDR001C
YBR160W	YDR027C
YBR160W	YDR034CC
YBR160W	YDR042C
YBR160W	YDR052C
YBR160W	YDR093W
YBR160W	YDR097C
YBR160W	YDR113C
YBR160W	YDR123C
YBR160W	YDR130C
YBR160W	YDR134C
YBR160W	YDR146C
YBR160W	YDR217C
YBR160W	YDR223W
