#item	conf(x) (out of 1000 total sols)
edge17446	1.000000
edge8013	0.866000
edge6909	0.929000
edge14801	0.903000
edge25024	0.914000
edge60	0.893000
edge15279	0.955000
edge5702	0.956000
edge9905	0.956000
edge3342	1.000000
edge27279	0.898000
edge20615	0.956000
edge10478	0.917000
edge24743	0.813000
edge14335	0.959000
edge5499	0.917000
edge6009	0.573000
edge16308	0.942000
edge22994	0.942000
edge17588	0.825000
edge8654	0.946000
edge12567	0.907000
edge6219	0.825000
edge14720	0.948000
edge12187	0.908000
edge2241	0.920000
edge2368	0.909000
edge18959	0.907000
edge14259	0.915000
edge16580	0.947000
edge17784	0.949000
edge16587	0.894000
edge12747	0.942000
edge5145	0.915000
edge663	0.954000
edge12218	0.956000
edge16225	0.956000
edge21572	0.896000
edge17197	0.909000
edge7154	0.911000
edge2393	0.894000
edge13582	0.914000
edge22208	0.953000
edge19316	0.913000
edge2781	0.912000
edge3865	0.951000
edge2621	0.951000
edge11800	0.956000
edge21886	0.914000
edge10277	0.948000
edge22748	0.905000
edge818	0.944000
edge3010	0.917000
edge8877	0.942000
edge23480	0.949000
edge7518	0.842000
edge21238	0.950000
edge25020	0.950000
edge16018	0.948000
edge7295	0.804000
edge7291	0.950000
edge7163	0.911000
edge16530	0.914000
edge7199	0.949000
edge20970	0.921000
edge22501	0.949000
edge15393	0.948000
edge27023	0.917000
edge18138	0.900000
edge22507	0.858000
edge3281	0.908000
edge27488	0.957000
edge16122	0.963000
edge4423	0.882000
edge960	0.905000
edge7039	0.956000
edge15987	0.950000
edge17434	0.919000
edge19039	0.949000
edge3045	0.910000
edge7588	0.572000
edge7422	0.914000
edge23417	0.946000
edge25320	0.916000
edge26071	0.912000
edge25325	0.948000
edge18888	0.889000
edge1569	0.177000
edge10994	0.089000
edge25993	0.941000
edge25991	0.923000
edge8568	0.804000
edge19121	0.784000
edge12005	0.861000
edge13024	0.908000
edge16155	0.746000
edge26409	0.919000
edge10877	0.370000
edge5989	0.913000
edge23497	0.923000
edge5596	0.941000
edge23733	0.904000
edge14579	0.916000
edge1892	0.910000
edge17052	0.953000
edge8519	0.960000
edge13983	0.906000
edge1784	0.947000
edge6326	0.949000
edge5853	0.911000
edge6322	0.152000
edge6256	0.943000
edge7329	0.913000
edge7326	0.940000
edge11997	0.957000
edge19848	0.944000
edge15570	0.903000
edge12316	0.915000
edge12098	0.947000
edge11238	0.954000
edge2190	0.908000
edge4601	0.959000
edge11233	0.050000
edge15223	0.906000
edge15221	0.941000
edge14906	0.650000
edge15181	0.903000
edge2921	0.899000
edge26474	0.871000
edge18984	0.937000
edge9362	0.910000
edge9364	0.043000
edge19196	0.901000
edge8760	0.005000
edge25060	0.946000
edge12414	0.961000
edge5604	0.688000
edge8830	0.959000
edge7558	0.954000
edge23994	0.746000
edge18860	0.950000
edge14715	0.904000
edge19840	0.102000
edge23479	0.922000
edge18983	0.947000
edge2724	0.897000
edge10112	0.912000
edge5078	0.954000
edge18508	0.820000
edge17614	0.863000
edge16273	0.909000
edge21830	0.944000
edge15986	0.960000
edge15985	0.953000
edge21833	0.940000
edge19990	0.821000
edge12389	0.949000
edge15822	0.959000
edge22616	0.894000
