#pid	conf	gene_ids	eids	pathfinders	sif_edges
p682	0.911000	YOR360C|YJL164C|YGL207W|PDE2RA50	edge26934|edge27122|edge22217	paths	YOR360C d YJL164C|YJL164C d YGL207W|YGL207W d PDE2RA50
p683	0.866000	YLR113W|YDL017W|YPL153C|HOG1ID32	edge23234|edge14882|edge2621	paths	YLR113W u YDL017W|YDL017W d YPL153C|YPL153C d HOG1ID32
p684	0.917000	YFR028C|NPR74|YEL015W|NPR73|YPR032W|CDC14RD20	edge3342|edge19940|edge19900|edge452|edge1128	paths	YFR028C d NPR74|NPR74 d YEL015W|YEL015W d NPR73|NPR73 d YPR032W|YPR032W d CDC14RD20
p685	0.899000	YFR028C|HOG1RD33|YJL128C|YJR059W|CDC14RD20	edge9388|edge13012|edge16569|edge3077	paths	YFR028C d HOG1RD33|HOG1RD33 d YJL128C|YJL128C d YJR059W|YJR059W d CDC14RD20
p686	0.899000	YFR028C|YLR096W|YHR030C|CDC14RD19	edge9729|edge12023|edge15221	paths	YFR028C u YLR096W|YLR096W u YHR030C|YHR030C d CDC14RD19
p687	0.890000	YFR028C|YNL307C|YPR119W|CDC14RD15	edge18452|edge5585|edge25060	paths	YFR028C u YNL307C|YNL307C u YPR119W|YPR119W d CDC14RD15
p688	0.949000	YFR028C|YOR061W|CDC14RD20	edge6481|edge19864	paths	YFR028C u YOR061W|YOR061W d CDC14RD20
p689	0.889000	YLR113W|NPR66|YNL243W|YFL039C|HOG1ID32	edge22071|edge8877|edge15457|edge27500	paths	YLR113W d NPR66|NPR66 d YNL243W|YNL243W u YFL039C|YFL039C d HOG1ID32
p690	0.898000	YOR360C|YJL164C|NPR76|YJR059W|PDE2ID42	edge26934|edge23417|edge21920|edge1752	paths	YOR360C d YJL164C|YJL164C d NPR76|NPR76 d YJR059W|YJR059W d PDE2ID42
p691	0.899000	YFR028C|HOG1RD33|YLR096W|YHR030C|CDC14RD20	edge9388|edge7059|edge12023|edge25993	paths	YFR028C d HOG1RD33|HOG1RD33 d YLR096W|YLR096W u YHR030C|YHR030C d CDC14RD20
