A	interaction	B
YOR061W	pp	Induced_.....sP....._No_Phenotype_Exists
YPL153C	pp	Induced_.....sP....._No_Phenotype_Exists
YNL161W	pp	Induced_.....tP....._No_Phenotype_Exists
YOL139C	pp	Induced_.....tP....._No_Phenotype_Exists
YBL007C	pp	Induced_..K..s......_No_Phenotype_Exists
YDR432W	pp	Induced_..K..s......_No_Phenotype_Exists
YER036C	pp	Induced_..K..s......_No_Phenotype_Exists
YGR130C	pp	Induced_..K..s......_No_Phenotype_Exists
YGR162W	pp	Induced_..K..s......_No_Phenotype_Exists
YGR241C	pp	Induced_..K..s......_No_Phenotype_Exists
YIR006C	pp	Induced_..K..s......_No_Phenotype_Exists
YJL124C	pp	Induced_..K..s......_No_Phenotype_Exists
YJR059W	pp	Induced_..K..s......_No_Phenotype_Exists
YKL166C	pp	Induced_..K..s......_No_Phenotype_Exists
YMR196W	pp	Induced_..K..s......_No_Phenotype_Exists
YNL020C	pp	Induced_..K..s......_No_Phenotype_Exists
YNL154C	pp	Induced_..K..s......_No_Phenotype_Exists
YNL161W	pp	Induced_..K..s......_No_Phenotype_Exists
YNL243W	pp	Induced_..K..s......_No_Phenotype_Exists
YNL272C	pp	Induced_..K..s......_No_Phenotype_Exists
YOL139C	pp	Induced_..K..s......_No_Phenotype_Exists
YOR361C	pp	Induced_..K..s......_No_Phenotype_Exists
YPL178W	pp	Induced_..K..s......_No_Phenotype_Exists
YDL101C	pp	Induced_..R..s......_No_Phenotype_Exists
YDR471W	pp	Induced_..R..s......_No_Phenotype_Exists
YER133W	pp	Induced_..R..s......_No_Phenotype_Exists
YGR130C	pp	Induced_..R..s......_No_Phenotype_Exists
YAR015W	pp	Induced_..S..s......_No_Phenotype_Exists
YBL007C	pp	Induced_..S..s......_No_Phenotype_Exists
YBL085W	pp	Induced_..S..s......_No_Phenotype_Exists
YCR002C	pp	Induced_..S..s......_No_Phenotype_Exists
YDL203C	pp	Induced_..S..s......_No_Phenotype_Exists
YGR241C	pp	Induced_..S..s......_No_Phenotype_Exists
YGR287C	pp	Induced_..S..s......_No_Phenotype_Exists
YHR030C	pp	Induced_..S..s......_No_Phenotype_Exists
YIR006C	pp	Induced_..S..s......_No_Phenotype_Exists
YJL187C	pp	Induced_..S..s......_No_Phenotype_Exists
YJR059W	pp	Induced_..S..s......_No_Phenotype_Exists
YKL129C	pp	Induced_..S..s......_No_Phenotype_Exists
YKL161C	pp	Induced_..S..s......_No_Phenotype_Exists
YKL166C	pp	Induced_..S..s......_No_Phenotype_Exists
YMR196W	pp	Induced_..S..s......_No_Phenotype_Exists
YNL020C	pp	Induced_..S..s......_No_Phenotype_Exists
YNL161W	pp	Induced_..S..s......_No_Phenotype_Exists
YNL243W	pp	Induced_..S..s......_No_Phenotype_Exists
YPL203W	pp	Induced_..S..s......_No_Phenotype_Exists
YPR181C	pp	Induced_..S..s......_No_Phenotype_Exists
YBR160W	pp	Repressed_.....sP....._No_Phenotype_Exists
YBR200W	pp	Repressed_.....sP....._No_Phenotype_Exists
YDL161W	pp	Repressed_.....sP....._No_Phenotype_Exists
YFR028C	pp	Repressed_.....sP....._No_Phenotype_Exists
YGL207W	pp	Repressed_.....sP....._No_Phenotype_Exists
YJL164C	pp	Repressed_.....sP....._No_Phenotype_Exists
YLR113W	pp	Repressed_.....sP....._No_Phenotype_Exists
YLR377C	pp	Repressed_.....sP....._No_Phenotype_Exists
YPL203W	pp	Repressed_.....sP....._No_Phenotype_Exists
YPR119W	pp	Repressed_.....sP....._No_Phenotype_Exists
YBR059C	pp	Repressed_.....tP....._No_Phenotype_Exists
YBR108W	pp	Repressed_.....tP....._No_Phenotype_Exists
YBR160W	pp	Repressed_.....tP....._No_Phenotype_Exists
YDR162C	pp	Repressed_.....tP....._No_Phenotype_Exists
YGL206C	pp	Repressed_.....tP....._No_Phenotype_Exists
YKL101W	pp	Repressed_.....tP....._No_Phenotype_Exists
YNL020C	pp	Repressed_.....tP....._No_Phenotype_Exists
YNL078W	pp	Repressed_.....tP....._No_Phenotype_Exists
YOL139C	pp	Repressed_.....tP....._No_Phenotype_Exists
YPL203W	pp	Repressed_.....tP....._No_Phenotype_Exists
YAL024C	pp	Repressed_...R.s......_No_Phenotype_Exists
YDR135C	pp	Repressed_...R.s......_No_Phenotype_Exists
YFL039C	pp	Repressed_...R.s......_No_Phenotype_Exists
YIR006C	pp	Repressed_...R.s......_No_Phenotype_Exists
YLR371W	pp	Repressed_...R.s......_No_Phenotype_Exists
YNL161W	pp	Repressed_...R.s......_No_Phenotype_Exists
YPL203W	pp	Repressed_...R.s......_No_Phenotype_Exists
YPR171W	pp	Repressed_...R.s......_No_Phenotype_Exists
YAL041W	pp	Repressed_..KR.s......_No_Phenotype_Exists
YBL007C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YBL085W	pp	Repressed_..KR.s......_No_Phenotype_Exists
YBR200W	pp	Repressed_..KR.s......_No_Phenotype_Exists
YDR099W	pp	Repressed_..KR.s......_No_Phenotype_Exists
YDR162C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YHL007C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YLR229C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YLR377C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YNL078W	pp	Repressed_..KR.s......_No_Phenotype_Exists
YNL272C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YPL201C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YPL256C	pp	Repressed_..KR.s......_No_Phenotype_Exists
YPR129W	pp	Repressed_..KR.s......_No_Phenotype_Exists
